acquiree_name,acquiree_country_code,state_code,acquiree_region,acquiree_city,acquirer_name,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,acquired_on,price_usd,price,price_currency_code,acquiree_cb_url,acquirer_cb_url,acquiree_uuid,acquirer_uuid,acquisition_uuid,created_at,updated_at
CapStone Bank,USA,NC,Raleigh,Raleigh,NewBridge Bank,USA,NC,Greensboro,Greensboro,2013-11-01,64000000,,,https://www.crunchbase.com/organization/capstone-bank,https://www.crunchbase.com/organization/newbridge-bank,6a9f8729-a3d6-fb1c-25f2-e2d2013c771b,f96b6355-fd9f-e5aa-243a-d27fb0868d25,a06073c9-d9f1-36ec-7172-006e0e21f51d,2013-11-04 03:17:05,2016-09-09 12:33:43.435556
Everis,ESP,,Madrid,Madrid,NTT Data,JPN,,Tokyo,Tokyo,2013-11-01,,559000000,EUR,https://www.crunchbase.com/organization/everis,https://www.crunchbase.com/organization/ntt-data,e78721f5-4a71-923a-88ce-2ccf79f94730,c9e406c1-ad4c-8415-7b43-b9e3abdc995a,c6461b42-24c8-59a4-0856-c02f8ce6b067,2013-11-04 04:27:41,2014-04-20 11:59:44
Aggregate Knowledge,USA,CA,SF Bay Area,San Mateo,Neustar,USA,VA,"Washington, D.C.",Sterling,2013-10-31,119000000,,,https://www.crunchbase.com/organization/aggregateknowledge,https://www.crunchbase.com/organization/neustar,3d02b92f-668f-1a97-5c12-5d7646ae3ffe,9b98a18e-03ed-b615-8a06-c50a4c0ddb09,ec02267c-b6a0-a94f-b53a-bf4601bc578a,2013-10-31 00:27:56,2016-06-17 10:47:10.694246
Genesis Biopharma,USA,CA,Los Angeles,Los Angeles,Lion Biotechnologies,USA,NY,New York City,New York,2013-10-31,,,,https://www.crunchbase.com/organization/genesis-biopharma,https://www.crunchbase.com/organization/lion-biotechnologies,2df6547c-8cd0-49d8-e68c-2a63e0aaae8a,36e66487-2f22-6ed8-e1c5-86127f99fa8f,5c45700d-f548-d708-5be9-a7620baea620,2013-11-01 06:46:58,2014-04-20 11:59:41
Labour Solutions Australia,AUS,,Sydney,Milton,Adcorp,ZAF,,Johannesburg,Bryanston,2013-10-31,,,,https://www.crunchbase.com/organization/labour-solutions-australia,https://www.crunchbase.com/organization/adcorp,aafb7eec-7d86-03ab-e037-a1266bda3f02,7c513065-a8cc-f4f3-eeb0-d6b0b779ccae,d957b8e3-10c8-a20c-4fd3-214eeaa0a029,2013-10-31 12:42:55,2014-04-20 11:59:39
Mivisa,ESP,,ESP - Other,Las Torres De Cotillas,Crown Holdings,USA,PA,Philadelphia,Philadelphia,2013-10-31,,,,https://www.crunchbase.com/organization/mivisa,https://www.crunchbase.com/organization/crown-holdings,f8d1ac7f-0365-10f9-03dd-953b75cbb10e,0676e551-3ea5-0d33-a35a-50f1eac75103,066b523b-47f3-817d-aecf-e15b8b26b1fc,2013-10-31 12:23:04,2014-04-20 11:59:39
MortgageCEO,USA,MA,Worcester,Worcester,Ellie Mae,USA,CA,SF Bay Area,Pleasanton,2013-10-31,,,,https://www.crunchbase.com/organization/mortgageceo,https://www.crunchbase.com/organization/ellie-mae,0db929ce-32a9-b505-aca0-ec5552f767b9,8fd1de43-c8ee-e9c1-2e4e-86deb4650ffd,64968743-9c21-a86b-a862-4b4ee614d13c,2013-11-01 05:10:55,2014-04-20 11:59:40
Tekpub,USA,UT,UT - Other,Farmington,Pluralsight,USA,UT,Salt Lake City,Lehi,2013-10-31,,,,https://www.crunchbase.com/organization/tekpub,https://www.crunchbase.com/organization/pluralsight,310a18f3-de93-4e03-8044-f82689af4b78,29870a7c-07ed-5748-2ef2-87c26fa8eb3c,ea260228-e650-babe-201c-0f76e4235578,2013-11-01 05:05:57,2014-04-20 11:59:40
Full Slate,USA,WA,Seattle,Seattle,Intuit,USA,CA,SF Bay Area,Mountain View,2013-10-30,,,,https://www.crunchbase.com/organization/full-slate,https://www.crunchbase.com/organization/intuit,57cfec1b-009b-998e-8810-efedc502f048,fbef6457-9149-72cf-af57-7cfbe15c05f8,814d3081-5710-5bdc-5e44-c8cea5834e3b,2013-10-31 00:21:51,2014-04-20 11:59:38
iWeb Technologies,CAN,QC,Montreal,Montréal,Internap,USA,GA,Atlanta,Atlanta,2013-10-30,145000000,,,https://www.crunchbase.com/organization/iweb-technologies,https://www.crunchbase.com/organization/internap,d6a68816-c544-70e0-f464-876c96bca065,e000d3af-3229-2066-339f-460687af928e,1351f5cb-46df-852a-7e2c-d26e034c5bc6,2013-10-31 03:27:52,2016-09-17 11:19:35.050051
ServiceMesh,USA,CA,Los Angeles,Santa Monica,CSC,USA,VA,"Washington, D.C.",Falls Church,2013-10-30,,,,https://www.crunchbase.com/organization/servicemesh,https://www.crunchbase.com/organization/csc,d60035bc-0073-fcc1-2b8c-285baa171857,7f5d8bcd-5e3d-97ec-281d-8e176c7c8330,d55a091a-3fd5-096b-814d-d51d5142efac,2013-10-30 22:00:23,2016-09-17 10:33:55.495952
Soluto,ISR,,Tel Aviv,Tel Aviv,Asurion,USA,TN,Nashville,Nashville,2013-10-30,130000000,,,https://www.crunchbase.com/organization/soluto,https://www.crunchbase.com/organization/asurion,8c42720b-127a-4aa8-dc15-5eac0dd38028,9cf163fb-1f77-0b6d-21ef-c9c6a36f70f0,f1b535be-ff16-ca52-68d2-3d4dbfb273f2,2013-10-30 09:17:12,2016-06-15 07:58:32.145371
Avado,USA,WA,Seattle,Seattle,WebMD,USA,NY,New York City,New York,2013-10-29,,,,https://www.crunchbase.com/organization/avado,https://www.crunchbase.com/organization/webmd,3ec83fc3-ea07-85d2-de91-b07f53fb8dc6,0cf0a225-64eb-2ca3-0a51-6b91a12f3877,2f476892-752a-1f74-aea4-350cbb1d63b7,2013-10-29 22:28:45,2014-04-20 11:59:30
