event_uuid,relationship_to_event,entity_uuid,type,relationship_detail,created_at,updated_at
b1a7f8e2-eb92-44c5-e7e3-ab2b0c69f813,speaker,bf4fc122-fb65-0e20-55bd-70f9c9bcc9d8,Person,,2016-10-14 14:34:43.719734,2016-10-14 14:34:43.719366
b1a7f8e2-eb92-44c5-e7e3-ab2b0c69f813,speaker,817bc926-5225-24bc-ca95-38ea0f05d3ef,Person,,2016-10-14 14:32:44.518548,2016-10-14 14:32:44.518103
b1a7f8e2-eb92-44c5-e7e3-ab2b0c69f813,speaker,d3b827a5-9d7a-c9f1-5951-8743bc44cc58,Person,,2016-10-14 14:21:26.214193,2016-10-14 14:21:26.213537
b1a7f8e2-eb92-44c5-e7e3-ab2b0c69f813,speaker,0e6c7ada-9243-c79b-1139-d8a911019ff5,Person,,2016-10-14 14:18:43.978053,2016-10-14 14:18:43.977452
b1a7f8e2-eb92-44c5-e7e3-ab2b0c69f813,speaker,5067d881-9f0b-b368-2dae-6f8a20eb95e8,Person,,2016-10-14 14:17:28.345311,2016-10-14 14:17:28.344856
b1a7f8e2-eb92-44c5-e7e3-ab2b0c69f813,speaker,9ac842c9-8526-20ab-a9f1-557fe19feee1,Person,,2016-10-14 14:13:07.385224,2016-10-14 14:13:07.384799
80763647-b2a7-7510-1a83-dbddbea16b0a,sponsor,b04296b4-1fb8-65db-5957-539d71b19fb7,Organization,,2016-10-13 20:24:49.509359,2016-10-13 20:24:49.508873
80763647-b2a7-7510-1a83-dbddbea16b0a,sponsor,f7b957da-0af2-5196-e240-69e549209e02,Organization,,2016-10-13 20:24:12.810533,2016-10-13 20:24:12.810173
80763647-b2a7-7510-1a83-dbddbea16b0a,sponsor,e3cd517e-3759-e023-e8b7-96bd4fcccdc7,Organization,,2016-10-13 20:23:36.794195,2016-10-13 20:23:36.793827
80763647-b2a7-7510-1a83-dbddbea16b0a,sponsor,36c1e30a-5f45-a2ca-6f86-32024d87ae4f,Organization,,2016-10-13 20:21:52.519544,2016-10-13 20:22:59.664842
80763647-b2a7-7510-1a83-dbddbea16b0a,sponsor,f5a70bcb-a7ee-82de-179a-6e75546e0a39,Organization,,2016-10-13 20:19:58.151233,2016-10-13 20:19:58.150754
80763647-b2a7-7510-1a83-dbddbea16b0a,sponsor,39694de3-d982-45fb-dea4-abbff072e927,Organization,,2016-10-13 20:19:19.040525,2016-10-13 20:19:19.040227
80763647-b2a7-7510-1a83-dbddbea16b0a,speaker,6731ce28-c789-11bf-d129-cac1db9a9d93,Person,,2016-10-13 20:15:40.622156,2016-10-13 20:15:40.621816
80763647-b2a7-7510-1a83-dbddbea16b0a,speaker,532b4a2e-af51-589d-9dc5-e644ed890fce,Person,,2016-10-13 20:14:21.968935,2016-10-13 20:14:21.968562
80763647-b2a7-7510-1a83-dbddbea16b0a,speaker,9fd98611-8358-9947-721c-20e243a48239,Person,,2016-10-13 20:13:21.23959,2016-10-13 20:13:21.239195
80763647-b2a7-7510-1a83-dbddbea16b0a,ntinmarket,9126275d-d470-1524-02f4-93d481721a6e,Market,,2016-10-13 20:10:54.568323,2016-10-13 20:10:54.56804
80763647-b2a7-7510-1a83-dbddbea16b0a,ntinmarket,f9e27700-8504-b203-6b23-606fb32d1449,Market,,2016-10-13 20:01:00.13902,2016-10-13 20:01:00.138735
80763647-b2a7-7510-1a83-dbddbea16b0a,ntinmarket,bb2ad65f-1009-db81-c6f6-83dbcfd64870,Market,,2016-10-13 20:00:48.442023,2016-10-13 20:00:48.441728
80763647-b2a7-7510-1a83-dbddbea16b0a,ntinmarket,bf395a9a-618c-0264-3a2b-b18d8dc56fff,Market,,2016-10-13 20:00:35.905518,2016-10-13 20:00:35.905216
