company_name,country_code,state_code,region,city,company_category_list,funding_round_type,funding_round_code,announced_on,raised_amount_usd,raised_amount,raised_amount_currency_code,target_money_raised_usd,target_money_raised,target_money_raised_currency_code,post_money_valuation_usd,post_money_valuation,post_money_currency_code,investor_count,investor_names,cb_url,company_uuid,funding_round_uuid,created_at,updated_at
GuestDriven,CAN,QC,Montreal,Montréal,Hospitality|Mobile|Travel,venture,A,2013-11-01,3000000,,,,,,,,,7,"Lead - Real Ventures, Lead - Structure Capital, Lead - Plaza Ventures, Good People Ventures, Caerus Ventures, Fonds de solidarité FTQ, Jesse Kaplan",https://www.crunchbase.com/organization/guestdriven,418fff3d-b1a2-99f6-ce46-a55dd0385ea6,a6dd0dd6-b0bb-1be9-adf7-50abc6317d92,2014-02-18 13:07:01,2016-02-08 18:47:18.964764
Rethink Robotics,USA,MA,Boston,Boston,Industrial Automation|Manufacturing|Robotics,venture,C,2013-11-01,11500002,,,,,,,,,6,"Lead - Two Sigma Ventures, Sigma Partners, CRV, Highland Capital Partners, Bezos Expeditions, Draper Fisher Jurvetson (DFJ)",https://www.crunchbase.com/organization/rethink-robotics,4ba8a5f0-1a4b-1e40-810e-d42eec040ddd,1637e281-e23d-cca8-0552-1c5588360bf2,2013-11-01 04:08:18,2014-07-28 23:10:32
Shots Studios,USA,CA,SF Bay Area,San Francisco,Android|iOS|Mobile|Social Media|Teenagers,seed,,2013-11-01,2700000,,,,,,,,,6,"Shervin Pishevar, Tom McInerney, Floyd Mayweather, Omar Epps, NALA Investments, Justin Bieber",https://www.crunchbase.com/organization/shots,0bbaf6fc-50a2-cdfa-87a3-6a897ce6e258,62f440bd-6ec1-9b9b-8451-83c2f0703077,2013-11-04 02:37:26,2015-07-11 21:54:13
Vires Aeronautics,USA,CA,SF Bay Area,Livermore,Aerospace|Manufacturing,seed,A,2013-11-01,1000000,,,,,,,,,5,"Lance White, Draper Associates, Promus Ventures, VTF Capital (fka VegasTechFund), Lemnos Labs",https://www.crunchbase.com/organization/vires-aeronautics,e4802411-d477-c162-1c42-5a935608a284,47a5abd8-2400-ab57-1ed6-ff343f6d923b,2013-11-19 04:30:41,2015-07-21 16:56:16
Arno Therapeutics,USA,NJ,Newark,Parsippany,Biopharma|Biotechnology|Medical,private_equity,,2013-10-30,31000000,,,,,,,,,6,"Pontifax, Commercial Capital LLC, Perceptive Advisors, Soros Fund Management, Sabby Capital, Bellco Capital",https://www.crunchbase.com/organization/arno-therapeutics,cb9d3558-bfc2-b5a3-f10c-b074ffe7eb21,2943f4f0-bf23-f7f4-e3f0-c8c76d08a61a,2013-07-05 12:47:32,2014-04-20 16:10:19
Immune Design,USA,WA,Seattle,Seattle,Biotechnology|Health Care|Therapeutics,venture,C,2013-10-30,49000000,,,,,,,,,6,"Lead - The Column Group, Topspin Partners, ProQuest Investments, Osage University Partners, Alta Partners, Versant Ventures",https://www.crunchbase.com/organization/immune-design,c8154f47-124b-e875-28f7-49d3674999d4,4767016c-d943-00ac-624a-7c7a53cd2a8c,2013-09-25 06:46:59,2014-04-20 16:05:55
Lawdingo,USA,NY,New York City,New York,Law Enforcement|Lead Generation|Legal|Video Chat,angel,,2013-10-30,690000,,,,,,,,,7,"Atsany Capital, Nathaniel Stevens, Igor Matsanyuk, Andrew Moroz, Gene Alston, Kartik Hosanagar, AltaIR Capital",https://www.crunchbase.com/organization/lawdingo,f6f79aa5-e5b1-9541-ea56-1b9cb5f8840c,0bf1d137-adf3-6ecb-5d40-f134998ae681,2013-10-30 17:19:33,2015-02-27 12:28:26
PneumaCare,GBR,,London,Cambridge,Biotechnology,venture,,2013-10-30,1607897.9949512,1000000,GBP,,,,,,,5,"Lead - Charterhouse Capital Partners, Torteval Investments, Cambridge Angels group, Cambridge Capital Group, Sud Investments",https://www.crunchbase.com/organization/pneumacare,91dc98c7-db47-7d9a-566f-f054abe17e2f,3bc9cc8b-a7f9-247f-edbd-8ca91eecf6a9,2013-10-31 05:10:36,2016-07-20 11:11:34.068686
Prestiamoci,ITA,,Milan,Milano,Finance|Financial Services|Internet,seed,,2013-10-30,707630,550000,EUR,,,,,,,11,"Stefano Miccinelli, Mariano Carozzi, Digital Magics, Luigi Lanari, Giordano Martinelli, Dario Levi, Johan Bode, Lodovico Rosnati, Luca Fabio Giacometti, Marco Valerio Bellini, Pietro Boroli",https://www.crunchbase.com/organization/prestiamoci,84187fea-df20-a4e4-5179-93b43731f636,c28750eb-05ca-7113-1986-98e242c69063,2013-10-30 11:47:22,2014-04-20 16:05:00
Primary Data,USA,CA,SF Bay Area,Los Altos,Information Technology|Software|Virtualization,venture,B,2013-10-30,50000000,,,,,,,,,7,"Lead - Accel Partners, Pelion Venture Partners, Battery Ventures, Cedar Fund, Lightspeed Venture Partners, Wing Capital Group, Wing Venture Capital",https://www.crunchbase.com/organization/primary-data,f0dbb4c7-6416-3b38-aee3-deceba88f839,6d0881ed-3aff-b85f-50d1-1bf530004868,2013-10-31 03:30:02,2014-11-06 05:25:45
Runnable Inc.,USA,CA,SF Bay Area,San Francisco,Software,seed,,2013-10-30,2000000,,,,,,,,,6,"Lead - Sierra Ventures, Resolute.vc, 500 Startups, Issac Roth, Hiten Shah, AngelPad",https://www.crunchbase.com/organization/runnable,84b26696-733f-5ab4-8777-c12b7e93c73d,b02ec57b-c87a-6a60-5475-f2536e6ca9cc,2013-10-30 17:00:04,2014-04-20 16:05:08
Trustev,IRL,,Cork,Cork,E-Commerce|Fraud Detection|Security|Software,seed,,2013-10-30,3000000,,,,,,,,,10,"SVG Partners, Kevin Abosch, ACT Venture Capital, Mangrove Capital Partners, Notion Capital, Wayra, Shane Naughton, Enterprise Ireland, David Coallier, Greycroft Partners",https://www.crunchbase.com/organization/trustev,52926acd-2f75-3751-449d-03c2a17ad4c6,ff4435b0-a127-38e0-bb1e-d326fc37abb9,2013-10-30 10:28:34,2016-08-24 19:54:09.348274
