entity_uuid,fund_uuid,fund_name,started_on,announced_on,raised_amount,raised_amount_currency_code,created_at,updated_at
b51ff078-c9d9-9f51-681d-4f9ac888e070,35a6f12f-e3ad-1d64-7ac9-a5195ff96d43,"2007 ""Consumer"" Fund",2007-07-09,,300000000,USD,2009-01-21 03:43:12,2014-04-20 12:19:49
56e40f50-97c7-2a77-255d-1d97d5f30646,0d6eeb32-ebbf-09c5-61f8-2db8f44bcfac,500 Startups III-A,2013-10-15,,26867000,USD,2013-10-16 11:22:52,2014-08-02 22:38:01
b08efc27-da40-505a-6f9d-c9e14247bf36,6e185c54-bfbe-dc54-c336-0871b229d920,Accel Fund,2008-12-01,,10000000000,USD,2009-10-22 22:43:59,2014-04-20 12:20:02
b08efc27-da40-505a-6f9d-c9e14247bf36,d0ff1222-a890-43a7-30bb-d83350c9f1cb,Accel Growth Fund 3,2014-03-19,,1000000000,USD,2014-05-31 08:03:08,2014-09-10 23:17:08
b08efc27-da40-505a-6f9d-c9e14247bf36,694529bc-2e44-1d6e-e373-20356b3a8b32,Accel Growth Fund II,2011-06-16,,875000000,USD,2011-06-17 03:56:47,2014-04-20 12:20:20
b08efc27-da40-505a-6f9d-c9e14247bf36,f4b44840-124c-3800-4f19-a64ec7d7f0bc,Accel India Fund III,2011-11-16,,155000000,USD,2011-11-17 02:04:13,2014-04-20 12:19:54
b08efc27-da40-505a-6f9d-c9e14247bf36,76466947-3d03-ae50-7947-e67630765f20,Accel London IV,2013-03-21,,475000000,USD,2013-02-08 04:23:55,2014-04-20 12:20:18
b08efc27-da40-505a-6f9d-c9e14247bf36,54b3367d-616d-45d5-6514-ad84a5697126,Accel XI,2011-06-16,,475000000,USD,2011-06-17 03:56:47,2014-04-20 12:20:20
93c87ab7-7cee-5c54-9941-104693dbbdba,5bbb47a0-96da-a262-ae6e-bb32760ad98d,Amidzad Partners,1999-01-01,,,USD,2013-04-30 16:47:32,2014-04-20 12:19:46
902deab4-ec41-68ce-d9df-c0c959578176,5b7136c7-82b9-5290-eeaa-089769330cba,Angel Fund,2010-02-26,,20000000,USD,2010-02-27 03:05:57,2014-04-20 12:20:22
f3716725-552d-b9b5-59ad-de4ec64b1751,b9033112-74ec-73bb-62ee-11ff50eb249a,AppUpSM Fund,2011-11-15,,100000000,USD,2011-11-16 03:15:21,2014-04-20 12:19:53
7a42b564-4bb6-5864-6cdb-a0100008f3b3,9b293e1a-2749-5073-0053-296352a27a14,Battery Fund,2007-07-06,,750000000,USD,2009-01-21 03:45:49,2014-04-20 12:19:49
7a42b564-4bb6-5864-6cdb-a0100008f3b3,f7817155-7aac-89f2-dfd2-2fa3238851b8,Battery Ventures IX,2010-03-02,,709600000,USD,2010-03-03 01:59:02,2014-04-20 12:20:24
7a42b564-4bb6-5864-6cdb-a0100008f3b3,aae0e741-7b26-1fec-6f02-e2e96f734c32,Battery Ventures X,2013-02-21,,650000000,USD,2013-02-22 02:35:12,2014-04-20 12:20:21
7a42b564-4bb6-5864-6cdb-a0100008f3b3,0d89d53f-9fed-dcaf-69c8-1fbc8b9f6e0c,Battery Ventures X Side Fund,2013-02-21,,250000000,USD,2013-02-22 02:35:12,2014-04-20 12:20:21
fe2d1e8b-f607-3c9f-fad7-98fb8412f77e,19778e64-c22a-19c0-05dd-54ea0337721b,Benchmark Capital Partners VIII LP,2013-12-06,,425000000,USD,2013-12-06 18:10:22,2014-04-20 12:19:51
fe2d1e8b-f607-3c9f-fad7-98fb8412f77e,0db3d0cd-f6fd-f8d4-97f0-89a71c2658f5,Benchmark Capital Partners VII LP,2011-01-14,,425000000,USD,2012-11-08 21:00:56,2014-04-20 12:20:06
beadb218-e5fa-2686-bc95-4dfaa9acc2e8,a3143f74-2c8f-699d-e3a5-07a35da5a9de,Bessemer Venture Partners VIII,2011-04-01,,1600000000,USD,2011-04-02 01:46:46,2014-04-20 12:20:12
4e0cf914-3a8e-c3c2-4ef8-ee6f5e8fdb47,1f541bf5-d52f-907f-cff9-446f45079b6c,Charles River Partnership XIII,2007-04-01,,285000000,USD,2009-03-31 18:54:48,2014-04-20 12:19:53
4e0cf914-3a8e-c3c2-4ef8-ee6f5e8fdb47,4b526b0f-cfcc-79ce-b5f8-26bdaa39d721,Charles River Partnership XIV,2009-03-30,,320000000,USD,2009-03-31 18:54:48,2014-04-20 12:19:53
4e0cf914-3a8e-c3c2-4ef8-ee6f5e8fdb47,756dd026-7566-e8a5-ff4d-973a8432287b,Charles River Partnership XV,2012-02-28,,375000000,USD,2012-02-29 04:46:18,2014-04-20 12:20:10
ac53f2c3-4fd6-45c3-3a21-966c4d950f8f,dd063040-dfb9-4653-1c6a-b6f3f6e980c8,DFJ Fund IV,1997-01-01,,97000000,USD,2013-11-20 09:32:41,2014-04-20 12:20:30
ac53f2c3-4fd6-45c3-3a21-966c4d950f8f,e63ebbc0-d0f2-5734-01ab-b42dc2aa5dc9,DFJ Fund IX,2007-01-01,,690000000,USD,2013-11-20 09:03:53,2014-04-20 12:20:29
ac53f2c3-4fd6-45c3-3a21-966c4d950f8f,c319b882-fffe-172d-0344-c4d1849c7cab,DFJ Fund V,1998-01-01,,196000000,USD,2013-11-20 09:28:31,2014-04-20 12:20:30
ac53f2c3-4fd6-45c3-3a21-966c4d950f8f,d9901e84-5a83-f2de-f5d5-1d2fecab55ba,DFJ Fund VI,1999-01-01,,400000000,USD,2013-11-20 09:25:29,2014-04-20 12:20:30
ac53f2c3-4fd6-45c3-3a21-966c4d950f8f,fee6f65e-566a-4e5c-5dd3-efb74969a14d,DFJ Fund VII,2000-01-01,,660000000,USD,2013-11-20 09:21:27,2014-04-20 12:20:29
ac53f2c3-4fd6-45c3-3a21-966c4d950f8f,4c26c27b-cae0-a073-5689-3597efc18cbc,DFJ Fund VIII,2004-01-01,,440000000,USD,2013-11-20 09:07:13,2014-04-20 12:20:29
ac53f2c3-4fd6-45c3-3a21-966c4d950f8f,82841360-a3fe-8680-3573-2d6188891ed7,DFJ Fund X,2010-07-01,,350000000,USD,2009-01-29 05:26:54,2014-04-20 12:19:51
ac53f2c3-4fd6-45c3-3a21-966c4d950f8f,fab3dc45-da25-02fa-5a2f-52dfa2b63005,DFJ Fund XI,2014-02-04,,325000000,USD,2014-02-04 18:55:57,2014-04-20 12:20:27
043d9e52-dcc0-0dd8-6074-206e42e20e13,6ffdf8b5-dcaa-618d-c935-537821cdcdb5,Dorm Room Fund,2013-09-05,,2000000,USD,2013-09-05 17:10:25,2014-04-20 12:19:55
b08efc27-da40-505a-6f9d-c9e14247bf36,e8a15c72-c8dc-9561-ae18-60acd84f71e9,Early-Stage Fund,2014-03-19,,475000000,USD,2014-03-20 06:57:16,2014-04-20 12:20:14
704baa25-5337-ecb0-71f7-f28c18ad3faa,2b983e12-5f65-7eab-dcf6-b0b78884a0ab,Foundation Capital VII,2013-04-10,,282000000,USD,2012-04-10 02:40:46,2014-04-20 12:20:19
a34c63f0-c277-3e4b-bbfc-1868ca81596d,1f91ce11-a68a-999d-bd3c-fde3ce0aa029,Fund Eleven,2010-10-22,,400000000,USD,2010-10-23 02:45:58,2014-04-20 12:19:54
56e40f50-97c7-2a77-255d-1d97d5f30646,ffa9b13c-cd25-9e75-0bce-824751361bb4,Fund I,2011-08-01,,30000000,USD,2011-08-02 06:02:41,2014-04-20 12:20:26
f5315b3c-bb4c-1828-9b81-2f2103cdb761,b7a6c6c4-bb3f-23ca-566d-b99f99d0ad09,Fund II,1999-01-01,,225000000,USD,2013-07-12 20:03:52,2014-11-20 00:37:49
56e40f50-97c7-2a77-255d-1d97d5f30646,03a2e8c5-9598-56ba-cf08-bc23006455b8,Fund II,2013-10-02,,44100000,USD,2013-05-29 23:25:36,2014-04-20 12:19:55
ce91bad7-b6d8-e56e-0f45-4763c6c5ca29,246c4e93-0f09-0dc6-5f2a-08ab2c29ef6c,Fund II,2010-11-03,,650000000,USD,2010-11-03 20:53:36,2014-04-20 12:19:56
f5315b3c-bb4c-1828-9b81-2f2103cdb761,380f6b73-0496-5f39-d2e4-eef7c8e23a08,Fund III,2001-01-01,,196000000,USD,2013-07-12 20:03:52,2014-11-20 00:38:18
ce91bad7-b6d8-e56e-0f45-4763c6c5ca29,645564c8-8453-6689-b826-b8930cbc2c5a,Fund III,2012-01-31,,1500000000,USD,2011-10-28 02:15:39,2014-04-20 12:19:50
