name,country_code,company_state_code,region,city,stock_exchange_symbol,stock_symbol,went_public_on,price_usd,price,price_currency_code,cb_url,ipo_uuid,company_uuid,uuid,created_at,updated_at
Biostage,USA,MA,Boston,Holliston,NASDAQ,BSTG,2013-11-01,,,,https://www.crunchbase.com/organization/harvard-apparatus-regenerative-technology,ec60ff03-6806-1a75-751a-95dbb1796826,78ff9bbf-303e-6fa4-e7a9-effe0b69f874,78ff9bbf-303e-6fa4-e7a9-effe0b69f874,2016-05-17 05:43:03.673751,2016-05-17 05:43:03.771498
Qunar.com,CHN,,Beijing,Beijing,NASDAQ,QUNR,2013-11-01,,,,https://www.crunchbase.com/organization/qunar-com,1b303591-3165-e86f-2bfd-4ae76772a066,17e90298-e3cb-b83c-feb2-0cbb6a27622c,17e90298-e3cb-b83c-feb2-0cbb6a27622c,2013-10-02 06:02:31,2015-10-05 10:24:55.87057
The Container Store,USA,TX,Dallas,Coppell,NYSE,TCS,2013-11-01,,,,https://www.crunchbase.com/organization/the-container-store,78d3e309-0a38-6a6c-3786-1cc6a839bfb5,0f41b6ae-de3d-7110-ba1d-159a894d522e,0f41b6ae-de3d-7110-ba1d-159a894d522e,2014-05-27 10:55:46,2016-06-22 10:55:13.798255
58.com,CHN,,CHN - Other,Chaoyang,NYSE,WUBA,2013-10-31,187000000,,,https://www.crunchbase.com/organization/58-com,f75c7310-44da-c0ab-d0e9-47798463af7e,2934f57c-f114-eecb-6902-6a4481ec392f,2934f57c-f114-eecb-6902-6a4481ec392f,2014-05-23 12:30:22,2015-12-24 05:25:02.83871
Brixmor Property Group,USA,NY,New York City,New York,NYSE,BRX,2013-10-31,,,,https://www.crunchbase.com/organization/brixmor-property-group,6ba841a0-3145-43b7-b03f-949d67d496db,1640febb-b884-7749-c15c-391348fdf9f7,1640febb-b884-7749-c15c-391348fdf9f7,2014-08-27 06:57:38,2016-06-22 10:33:39.945083
Essent Group,BMU,,Bermuda,Hamilton,NYSE,ESNT,2013-10-31,,,,https://www.crunchbase.com/organization/essent-group,8730ef19-a092-1eb0-bb17-b0763c2a699a,6701d36b-fd48-0024-f977-827801e89aa2,6701d36b-fd48-0024-f977-827801e89aa2,2014-06-17 11:07:53,2015-07-16 23:30:35
Criteo,FRA,,Paris,Paris-l'hopital,NASDAQ,CRTO,2013-10-30,1700000000,,,https://www.crunchbase.com/organization/criteo,f3f4523a-369e-fb26-998e-76208e98a789,9f638203-0386-0266-081a-e40eebdde79e,9f638203-0386-0266-081a-e40eebdde79e,2014-05-22 10:34:44,2015-12-23 19:25:42.309034
Veracyte,USA,CA,SF Bay Area,South San Francisco,NASDAQ,VCYT,2013-10-30,,,,https://www.crunchbase.com/organization/veracyte,d5dcec12-127d-61b7-a8db-2d42bba5f95e,0c247e85-1cd2-9457-5974-563d02e99bf9,0c247e85-1cd2-9457-5974-563d02e99bf9,2014-06-02 08:55:51,2016-09-01 10:03:15.361874
Aerie Pharmaceuticals,USA,NJ,Newark,Bedminster,NASDAQ,AERI,2013-10-25,,,,https://www.crunchbase.com/organization/aerie-pharmaceuticals,bbd7e3ac-0f3b-3118-8e37-8f1ab4653a5d,b859005a-2068-9968-0e9b-5e02f80ebd81,b859005a-2068-9968-0e9b-5e02f80ebd81,2014-05-27 10:13:16,2016-09-01 08:40:31.357662
CommScope,USA,TX,Dallas,Richardson,NASDAQ,COMM,2013-10-25,2784807450,,,https://www.crunchbase.com/organization/commscope-enterprise-solutions,b6b5decc-9742-d5cd-7a39-b587da517564,6e7213af-1151-0c25-e5d7-41bd51f66be8,6e7213af-1151-0c25-e5d7-41bd51f66be8,2014-05-26 12:34:15,2015-12-24 12:16:06.664524
Endurance International,USA,MA,Boston,Burlington,NASDAQ,EIGI,2013-10-25,1514859792,,,https://www.crunchbase.com/organization/endurance-international,b62850d3-c7c9-fa29-a3c0-753475815ce3,b8098f51-76cd-e4c4-9f05-8bf4a6951ac4,b8098f51-76cd-e4c4-9f05-8bf4a6951ac4,2014-05-23 08:41:23,2015-12-24 06:28:12.559561
Sprague Resources,USA,NH,Portsmouth,Portsmouth,NYSE,SRLP,2013-10-25,,,,https://www.crunchbase.com/organization/sprague-resources,034f447b-885d-1bd5-18d6-ce4df92e43de,1233fa26-bd84-4b48-7ff1-2616896c61af,1233fa26-bd84-4b48-7ff1-2616896c61af,2014-06-05 04:06:23,2015-07-16 23:42:01
Voxeljet,USA,MI,Detroit,Canton,NYSE,VJET,2013-10-25,84500000,,,https://www.crunchbase.com/organization/voxeljet,c7cdeee6-23c6-7c0b-2f22-1f15dcd71e8b,59279a41-60cd-9e29-ca3c-e16914bfb311,59279a41-60cd-9e29-ca3c-e16914bfb311,2014-06-09 11:59:07,2016-09-03 05:47:44.622093
Global Defense & National Security Systems,USA,DE,"Wilmington, Delaware",Wilmington,NASDAQ,GDEF,2013-10-24,,,,https://www.crunchbase.com/organization/global-defense-national-security-systems-inc,82b0135d-b72d-28e5-7f6b-19082729141f,0a4fcc93-005d-0029-831d-d72fc90d21bb,0a4fcc93-005d-0029-831d-d72fc90d21bb,2014-06-16 11:33:47,2015-07-16 23:09:13
ADMA Biologics,USA,NJ,Newark,Ramsey,NASDAQ,ADMA,2013-10-18,,,,https://www.crunchbase.com/organization/adma-biologics,28625f2a-e664-2112-ad7f-0262e35bf773,ae9dfa40-07ce-c8f6-2948-0ddf84d0a16e,ae9dfa40-07ce-c8f6-2948-0ddf84d0a16e,2013-10-24 05:07:55,2016-10-12 08:34:37.746767
Fasoo,USA,NJ,Newark,East Brunswick,TPE,150900,2013-10-18,,,,https://www.crunchbase.com/organization/fasoo,f1ed546a-2d70-cc8e-8c07-27b3ae396e25,45e13bca-9b85-813c-4ee8-40244fbcb438,45e13bca-9b85-813c-4ee8-40244fbcb438,2015-06-29 15:18:19,2015-07-16 23:03:50
LDR Holding,USA,TX,Austin,Austin,NASDAQ,LDRH,2013-10-18,,,,https://www.crunchbase.com/organization/ldr-holding,85bf82ee-7856-8db6-754a-3a399bb98a5b,a19894e6-fde7-2878-69ef-9c93e8bf57fd,a19894e6-fde7-2878-69ef-9c93e8bf57fd,2014-06-02 08:15:01,2016-09-01 11:46:04.484019
Abengoa,ESP,,Seville,Seville,NASDAQ,ABGB,2013-10-17,,,,https://www.crunchbase.com/organization/abengoa,65f32eeb-2e2e-d551-11ab-6ce4d2385659,64bdc639-e632-5c24-2c1e-d04879e5c968,64bdc639-e632-5c24-2c1e-d04879e5c968,2014-06-04 08:02:55,2016-09-06 08:53:21.339312
Gawk,USA,CA,Los Angeles,Los Angeles,OTCMKTS,GAWK,2013-10-16,,,,https://www.crunchbase.com/organization/gawk,b83a9aa2-4e80-2b60-5c9f-2cee4ba4b994,c50aae6e-7db3-4a34-6998-aad572708fa5,c50aae6e-7db3-4a34-6998-aad572708fa5,2016-07-12 13:01:38.792838,2016-07-12 13:01:38.927875
"Plains Group Holdings, L.P.",USA,TX,Houston,Houston,NYSE,PAGP,2013-10-16,,,,https://www.crunchbase.com/organization/plains-gp-holdings-lp,5be6e26b-f3b5-aa25-171f-41b4849254a9,898fece7-8bf0-75c9-e794-2742d2230cc3,898fece7-8bf0-75c9-e794-2742d2230cc3,2014-06-04 09:38:04,2015-07-17 00:05:17
Springleaf Holdings,USA,IN,Louisville,Evansville,NYSE,LEAF,2013-10-16,,,,https://www.crunchbase.com/organization/springleaf-holdings,edc4704b-a904-a596-c2f2-44b8ff37699a,765a4624-73b6-d978-b8b5-e5a98a718ab3,765a4624-73b6-d978-b8b5-e5a98a718ab3,2014-06-16 06:03:36,2015-07-16 23:04:36
Veeva,USA,CA,SF Bay Area,Pleasanton,NYSE,VEEV,2013-10-16,260900000,,,https://www.crunchbase.com/organization/veeva,8482623c-1557-2c73-a97c-fac121aab3ab,476cdc24-e4c3-14c4-9b92-97032674e2da,476cdc24-e4c3-14c4-9b92-97032674e2da,2014-05-26 06:12:24,2015-12-24 06:31:49.614163
zulily,USA,WA,Seattle,Seattle,NASDAQ,ZU,2013-10-15,,,,https://www.crunchbase.com/organization/zulily,a4c555cc-8ced-3f38-c07d-7b8cc5b0c7d3,f2a8fc43-2d6f-779f-cade-150fed67eed0,f2a8fc43-2d6f-779f-cade-150fed67eed0,2016-06-17 11:50:00.378734,2016-09-07 11:19:15.984668
