person_uuid,org_uuid,started_on,ended_on,is_current,title,job_role,executive_role,advisory_role
000cdf70-5946-10c7-8188-f0d506e7e70e,24582bb6-dad5-f255-9307-a92a600ddbe3,2011-09-01 00:00:00,,t,Co-founder,t,t,f
00016334-9af9-1bae-0737-b5c0e906fcad,bcfcc3bb-a92e-c787-1611-cb2df62e470d,2014-06-01 00:00:00,,t,Member of the Board of Directors,f,f,t
0009ce3f-5b0a-2e2a-94be-7fcd86e9d020,43ca8243-bd74-dd95-e9f4-4817ecc8ca79,,,f,Senior Vice President of Engineering,t,f,f
000792fb-3022-cac3-eea5-a93a49150727,5feb6981-348c-dfc0-0504-dcfe73a331ce,2014-07-01 00:00:00,2014-12-01 00:00:00,f,Senior Software Engineer,t,f,f
000792fb-3022-cac3-eea5-a93a49150727,7b224a36-b7b4-d02f-bf76-b4ac9ba085ca,2016-01-01 00:00:00,,t,Co-founder,t,t,f
000609f8-4dee-8b88-fdab-8e506d84dd8a,0ab195f1-63be-606a-ad37-76cce3e2455d,2014-09-02 00:00:00,2016-04-22 00:00:00,f,Analyst,t,f,f
000609f8-4dee-8b88-fdab-8e506d84dd8a,ad89cfd0-2839-e404-a62e-72605d4d22b2,2016-05-02 00:00:00,,t,Investor,t,f,f
000de2ac-9ee6-42b0-0a58-a39cfa146e3f,0f837dfe-9ccd-29fc-8bc2-6fe96b6ff2f6,2002-01-01 00:00:00,,f,Senior Vice President,t,f,f
000de2ac-9ee6-42b0-0a58-a39cfa146e3f,0f837dfe-9ccd-29fc-8bc2-6fe96b6ff2f6,1985-01-01 00:00:00,,f,Team Member,t,f,f
000de2ac-9ee6-42b0-0a58-a39cfa146e3f,0f837dfe-9ccd-29fc-8bc2-6fe96b6ff2f6,,,t,"Executive Vice President, International",t,f,f
0009ce3f-5b0a-2e2a-94be-7fcd86e9d020,1d71ad38-cb0f-e23c-6f7d-69a32e7b2010,,,t,CTO,t,t,f
00086acf-adf2-b9cc-e600-442bfba4412d,fcf35538-c297-85aa-4fd8-230d4a64125a,2016-04-13 00:00:00,,t,Founder,t,t,f
