org_uuid,parent_org_uuid,relationship_to_parent,created_at,updated_at
c863c4dd-4fd7-3329-3b51-59c5780857a2,494fe550-b2c7-39b3-5a6f-c3e872593ab3,Sister Concern,2016-10-22 08:23:54.420218,2016-10-22 08:23:54.419775
64240139-e643-a186-8816-9c55c07b63a4,3afb8ef5-2b6c-7788-7b38-53ecbb89d72e,Subsidiary,2016-10-21 15:07:18.440307,2016-10-21 15:07:18.439982
4bd9154c-2c65-3176-670b-8c6319a543e9,11b8a867-64c0-ccac-c14d-a597c18b5003,Parent company,2016-10-21 09:37:22.601772,2016-10-21 09:37:22.6013
6e743609-b775-f3dd-606e-338ba3c2997d,c06fd6dd-3503-8826-1b43-09be6719a3c0,Sub Organisation,2016-10-21 07:57:21.279242,2016-10-21 07:57:21.278944
971048a8-3de6-b140-f482-d74eea4a6c48,a59f1408-7073-4060-955c-3b400e613a66,sub ORG,2016-10-21 07:09:05.588918,2016-10-21 07:09:05.588485
5f7e8b5b-3b00-2afd-7988-5929f99e5bf1,94422e90-5e7a-43fc-fe2c-b1733020dfbc,Subsidiary,2016-10-21 06:56:36.844712,2016-10-21 06:56:36.844274
eba8f0b5-c2ae-78c7-ebba-c5606c495610,43951e50-2492-d611-9fa5-59f6cd4ce9c7,Sub Organization,2016-10-21 04:45:02.77602,2016-10-21 04:45:02.775586
d6b107a4-d0c5-1d19-20ef-41f0b7864c9c,7825ea6a-d6b4-9e26-de3a-0dac587c5db2,Product,2016-10-20 19:47:38.159309,2016-10-20 19:47:38.159024
d485cc3e-4466-6f52-953c-977a1873a37c,5dbc5f95-99a1-b9c7-f2e9-8fa57d8189bb,Incubator,2016-10-20 19:27:16.13519,2016-10-20 19:27:16.134788
4cda5618-71e7-e81f-fd4a-7f4b18501ce3,5dbc5f95-99a1-b9c7-f2e9-8fa57d8189bb,Seed Investor,2016-10-20 19:12:55.477016,2016-10-20 19:12:55.476735
8af88c86-1678-8cd5-5114-271504b32f89,93853d8a-48b8-f3f1-c162-7c1d3b856082,Corporate Venture Arm,2016-10-20 18:46:37.341846,2016-10-20 18:46:37.341318
db424e2b-25a2-8cec-4e9c-670f29ab8603,4312a4f3-7a4b-7ae0-ec23-fda1866d7892,subsidiary,2016-10-20 14:32:36.098557,2016-10-20 14:32:36.097991
f0cbdc38-bf2d-6e60-28fa-d0ee377adde4,4e919355-a2c4-d25f-5699-a637caea4a09,Sub Company of COMODO,2016-10-20 12:43:40.637602,2016-10-20 12:43:40.63707
d48c6302-f6a0-7362-ce88-28ab9023b3c7,4e919355-a2c4-d25f-5699-a637caea4a09,Parent Company,2016-10-20 12:43:23.258093,2016-10-20 12:43:23.257824
5eb94c09-7a0a-009e-d8f6-8880b06c30e2,4e919355-a2c4-d25f-5699-a637caea4a09,Sub Company of COMODO,2016-10-20 12:41:43.319775,2016-10-20 12:41:43.31948
2ed26f14-9785-abb4-432d-30fd650836c7,71e051e4-8377-a6b9-3f2e-d15c0f7e46c9,Sub Organization,2016-10-20 09:02:15.071906,2016-10-20 09:02:15.071437
556de159-7c27-7097-168b-1952c3100982,1a89a0df-a150-658a-02a6-249d3911bf7f,Sub Organization,2016-10-20 05:31:23.755784,2016-10-20 05:31:23.75551
a41f0d3e-502b-1230-42c2-33c2f11c5108,ecd266e3-d63b-fafc-29e3-bb42f3f58592,Parent Company,2016-10-19 22:22:16.096697,2016-10-19 22:22:16.096192
641ace27-85f8-f09b-562d-1856f73113cb,1880c1be-ee35-e8f7-1f40-a41299014eb9,Accelerator Program,2016-10-19 21:34:42.310497,2016-10-19 21:34:42.310013
971a974d-a379-a35a-ffb8-133e6b5a6ccb,157c190a-5ed8-3787-4eb4-0e776671a8a9,Product,2016-10-19 19:09:12.564511,2016-10-19 19:09:12.564003
deaad174-c6b9-69fb-7d34-4cb1f96c7ffd,248fba5a-0808-9bb8-caf2-2cc7aeeb1f04,Sub Organization,2016-10-19 09:55:18.034902,2016-10-19 09:55:18.034359
9198dbdd-8cc3-6335-c66e-71980f1c5171,ad2e7624-c21a-121f-c99c-39377e888c53,Subsidiary,2016-10-18 23:44:10.201166,2016-10-18 23:44:10.200705
ad2e7624-c21a-121f-c99c-39377e888c53,2cb9361c-a2cb-ff5f-2966-fee95a3b5bed,Subsidiary,2016-10-18 20:42:12.188592,2016-10-18 20:42:12.188259
e4e7b788-b6bd-151b-ee84-babcb6daa16e,b3593c1c-cf6d-8cff-3245-871b32ce5af9,Portfolio company,2016-10-18 19:18:37.0561,2016-10-18 19:18:37.055394
2816c065-e9f1-d818-6c8b-f17f649a7dff,b3593c1c-cf6d-8cff-3245-871b32ce5af9,Portfolio company,2016-10-18 19:08:20.409982,2016-10-18 19:08:20.409724
2a7d889a-854e-4bf2-88be-2b16196f35d5,b3593c1c-cf6d-8cff-3245-871b32ce5af9,Portfolio company,2016-10-18 18:55:39.798933,2016-10-18 18:55:39.798576
fa164e32-28c6-bfd6-ecde-0135675be793,5adb1943-f9f9-5a3f-c6c7-72aeaacd2f2c,Subsidiary Brand,2016-10-18 14:48:31.710959,2016-10-18 14:48:31.710548
67d8db9a-5d4c-9f90-6664-1997fd7bf350,f4a46ffb-d12f-e62c-6832-a8c67e87607b,Subsidiary,2016-10-18 08:18:04.428573,2016-10-18 08:18:04.428255
139b095b-3c06-bf3d-7b90-68909dd85613,20e6ae51-ebc1-fbf4-b9dd-43bf0af9dcaf,coontrolled,2016-10-17 14:32:47.633618,2016-10-17 14:32:47.633342
b46f9f79-2007-ecc3-088f-b36b32d1db33,8819a637-f009-4329-6f06-4aeb2b9232cb,Division,2016-10-17 10:49:13.380966,2016-10-17 10:49:13.380486
40db5906-32d7-d424-cf0b-025290c9c934,f8328c93-3cbf-207b-a3f0-f2870691096f,Subsidiary,2016-10-17 06:41:17.033841,2016-10-17 06:41:17.033362
b45837c0-122f-bbdd-223e-ae19a59e6ded,75a0cfa6-a530-a1de-1d6c-9bec6ea486b7,Partner,2016-10-16 23:03:51.214665,2016-10-16 23:03:51.214328
5c1a7d14-35f5-873c-dd3a-140c61434f8e,1d952c9e-3234-4ba2-7792-24d24281ebdd,to me,2016-10-16 19:36:49.080624,2016-10-16 19:36:49.080349
9b34187b-3212-c517-b8c3-f7fe8a316d9b,a076644b-df64-7631-514a-d501805f349f,Organisation,2016-10-15 09:59:30.225271,2016-10-15 09:59:30.224887
06047c8b-c52e-a474-95e2-ef24dc615460,a4590a93-639f-fe6c-23e5-c2407aa164ac,Division,2016-10-14 22:27:31.321624,2016-10-14 22:27:31.321288
