uuid,description
69d91137-499e-467f-ec47-c2e972e9e18a,"Feedzai’s fraud prevention technology fuses big data and machine learning with human intelligence to predict and detect fraud within payment transactions globally. Customers in North and South America, Europe, and Africa use Feedzai’s Fraud Prevention That Learns™ software to predict and prevent payment loss before it occurs.

Feedzai can detect fraud in any commerce transaction, by analyzing historical and current data, whether the credit card is present or not, in real-time. The platform can detect fraud by as much as 10 days earlier than other solutions and expose more fraud cases (up to 60% more), all with lower false alarms.

Launched in Europe by aerospace engineers and data scientists, Feedzai is headquartered in the United States."
dba2c3b4-126a-5aa8-8a43-e80ecea7be68,"EnergySavvy is a leader in enterprise cloud software for the utility industry. Its Optix Platform drives customer intelligence, engagement and action through modern customer-centric software products and services. Over 25 utilities use Optix to deepen customer relationships and increase control, transparency, and agility within their customer operations. 

The company is led by alumni from Microsoft, Amazon, PG&E, and EnerNOC. EnergySavvy brings together expertise in software, user experience, and analytics to deliver cloud solutions that clients love."
613faa5f-40f1-2f29-3d86-f1e66eb9159f,"NXTP Labs is the most active early stage fund for tech companies in Latin America. A powerful network for entrepreneurs, investors, executives and organizations who believe in building the best ventures with global impact. Acceleration and growth are part of our DNA. 

Funding—
The fund typically invests an initial amount of up to US$ 25,000 in a company's seed round, and may invest up to US$ 1 million in follow-on investments. 

Hands-on Advice & Mentorship—
Our Founding Partners have a solid track record in helping, creating, growing and selling companies. They have a hands-on approach when working with the startups and are actively involved throughout our acceleration program. During this program entrepreneurs are paired with mentors that provide support and networking that transcends the acceleration period.  

Community—
NXTP Labs has had a strong role in developing the venture capital ecosystem in Latin America. Our alumni to date (Jan '15) sum more than 360 founders focused on innovation spread throughout the region and the globe. Our acceleration program puts a strong focus on cross-fertilization between entrepreneurs and other companies. 

Investment Focus—
AdTech, AgTech, B2B, BigData, Bitcoin, CloudTech, eCommerce, Education, FinTech, Mobile, Gaming, Internet of Things, Payment, Security, Services, Social, Travel, Video.
 
Selected companies will be offered co-working space in our headquarters located in Palermo Soho, Buenos Aires.  The location is ideal — providing many networking and casual mentoring opportunities. Entrepreneurs will be offered perks and networking contacts spread around the region to help companies in their expansion. 

At the end of the program founders will pitch their company to an audience of qualified investors for additional funding during our Demo Day.

NXTP Labs provides entrepreneurs with a structured business growth roadmap based on 3 key value-adding elements: 1. The knowledge that is acquired and transferred to entrepreneurs from kick-off day; 2. The synergy that is created in the workplace and the partner networking; 3. A network of industry and investor contacts.

NXTP Labs is not about how to write a business plan. It's not an exercise on how smart you are, or how well you use the research tools. The end result is not a PowerPoint slide deck for a VC presentation.  

NXTP Labs helps high impact founding teams turn an idea into a great company."
392268c3-8e74-6066-7783-9d19f5e80411,"Flat6Labs is Sawari Ventures’ dedicated startup accelerator for seed stage investments. Launched in Cairo in 2011, it assists and encourages entrepreneurs throughout the critical first steps of development. Every four months, it funds and mentors a number of carefully selected start-ups from Egypt and the MENA region, providing them with seed capital and physical hosting at its premises. In addition, it offers interaction-based mentorship and educational experiences, organized in conjunction with the American University in Cairo. 

Flat6Labs’ philosophy is centered on immersing entrepreneurs into the real-world challenges of creating and managing successful enterprises in an open, collaborative and value-added environment. In May 2012, Flat6Labs joined the Global Accelerator Network (GAN), as the first member from Africa."
3313cf72-8272-187e-c0b2-8de5d55b7897,"The only safe and ad-free TV and learning app, just for kids aged 2-6.  http://bit.ly/gethopsternow"
4ca2593a-1e9d-b393-ae3f-b745ee0c670c,"360 Incentives provides a highly flexible software as a service platform which enables manufacturers and distributors to create, measure and manage their incentives programs such as sales spiffs or rebates in real time with 100% auditing and fast payout of claims."
1148cb4f-ca69-8db6-978b-81e6f1d5dcb8,"Mio ALPHA is the first and only sport watch to provide continuous, accurate heart rate monitoring at performance levels - without a chest strap. Its launch generated buzz and industry recognition, including the CES Innovations 2013 Design and Engineering Award. Mio ALPHA’s ability to connect via Bluetooth® Smart to apps and devices opens the door to a wealth of personal and social training tools."
9185a077-c260-ac40-2678-fef9e645591b,"Monzo (previously Mondo) is a bank for people who live their lives on their smartphones, and is targeted at people who want to get things done in a click and who don’t see the need for branches and cheque books. Monzo is focussed on building the best current account in the world and ultimately working with a range of other providers so that Monzo can be an intelligent hub for your entire financial life."
c2ee6373-f9cf-2ee7-3919-7f94c2e34bc0,"CityFALCON creates a level-playing field in financial news for ALL investors. They source and collate financial big data, and then using the power of social media and crowd curation, provide a comprehensive and timely resource for investors."
14829078-9288-a615-fbc4-c3f287486196,"At EverQuote.com®, we believe that nothing is more important than your budget. So we help you make sure you are paying as little as possible for expenses like insurance. EverQuote.com makes finding great insurance easy!
It's fast, free, and there's no obligation. We just take the hassle out of finding and calling multiple insurance agents in your area or spending time filling out online quote requests with carriers less likely to provide you the best rates. We do the research on the insurance companies, match you with insurance providers who offer what you need, and you get great insurance rate quotes to compare."
4efdc204-5a73-6ffb-f439-21a772173f08,"Hubb is a software platform that helps conference and meeting planners manage and market content for their events. Conceived by veteran event professionals, Hubb automates the processes surrounding event content management, freeing time for managers to focus on strategic planning and more efficient execution.  Hubb connects to other layers of event technology to streamline speaker and session management and ensure a consistent participant experience, from registration to session feedback."
85dd6bd7-56ca-416a-cf5f-24546cf42036,"Propeller Health is a mobile platform that offers sensors, mobile apps, analytics, and services to support respiratory health management. The HIPAA compliant platform stores users’ data in a cloud computing infrastructure.


The Propeller sensor and mobile application help users learn more about and better manage their asthma, COPD, and respiratory disease. The Propeller sensor attaches to users’ inhalers and wirelessly syncs with their smartphones. It tracks their triggers and symptoms and sends personalized feedback and education to their phones based on the symptoms. Users can see how often they use the medication, and set up medication reminders and alerts.


Propeller community enables users to share their Propeller data with their physician and family members.


Propeller Health is backed by Safeguard Scientifics, The Social+Capital Partnership, California HealthCare Foundation, and other investors.  The platform works with organizations such as Dignity Health, Wyckoff Heights Medical Center, Amerigroup Florida, and the City of Louisville. The system has been featured in The Economist, Washington Post, Fast Company, Wired, and Scientific American.

Propeller Health has received TEDMED Innovation Showcase, White House Champion of Change, and Bluetooth Breakthrough Product awards.

Propeller Health was launched by David Van Sickle, Greg Tracy, and Mark Gehring and its operations are based in Wisconsin, United States."
3e8132f9-67b4-7731-f873-7a0624d32175,"Undo’s products are used by thousands of developers to solve complex, real-world problems for leading technology companies, from embedded to enterprise and High Performance Computing to banking.  Its unique record, rewind and replay technology enables Linux and Android developers to see exactly what their program did at every step in its execution, and its reversible debugging and recording technology allow problems to be fixed quickly and easily. Developers can now respond quickly to failures in production and test environments, increase their development productivity by at least 25% and improve software quality.


Undo is a privately held company headquartered in Cambridge, UK. For more information, see http://undo.io/ or follow us on Twitter at www.twitter.com/@undosoft."
6c30ec8c-d283-07ef-4874-634b1dbf86eb,"ChatOnGo is a hyper local platform bringing vendors closer to their customers. It helps vendors to showcase their products, offers, deals, location etc. to their buyers. Within few clicks, you can now reach out to more customers.
If you face problems using platform that allows you to contact with your customers via calling, ChatOnGo is the solution. It is often found that Customers don’t call or take efforts to reach out to the vendors. Buyers don’t answer calls, are unreachable, have voice clarity issues or network issues. ChatOnGo provides a feature to chat with customers, send offers and deals via SMS, send push notifications and so on."
77e6bb07-93af-b43f-8329-b6d852ac2cf9,"Starteed provides the platform and back office services for crowdfunding industry. Starteed offer customized platforms thanks to white label solution for donation, rewards and equity markets with the advantage of saving realization and implementation costs."
b85405f9-8e9e-e862-661b-b9f1c4257d0e,"Venbrook Insurance Services is a national leader in insurance broking and risk management solutions. Venbrook maintains strong relationships with the insurance carrier community, enabling us to stay in step with the marketplace and to negotiate competitively on your behalf."
