company_name,primary_role,domain,homepage_url,country_code,state_code,region,city,zipcode,address,status,short_description,category_list,category_group_list,funding_rounds,funding_total_usd,founded_on,first_funding_on,last_funding_on,closed_on,employee_count,email,phone,facebook_url,cb_url,logo_url,profile_image_url,twitter_url,uuid,created_at,updated_at
360insights,company,360incentives.com,http://www.360incentives.com,CAN,ON,Toronto,Whitby,L1N 8R1,"420 Green Street, Suite 202, Ontario",operating,360insightsprovides a SaaS-based platform that enables manufacturers and distributors to manage their incentives programs.,enterprise software|manufacturing|saas,manufacturing|software,3,47650000,2008-01-01,2013-01-15,2016-10-19,,51-100,,888-665-4927,http://www.facebook.com/pages/360incentives.com/247280538627559,https://www.crunchbase.com/organization/360incentives-com,https://www.crunchbase.com/organization/360incentives-com/primary-image/raw,http://public.crunchbase.com/t_api_images/v1476936517/udgk62klh6ewr2zmulws.png,https://www.twitter.com/360incentives,4ca2593a-1e9d-b393-ae3f-b745ee0c670c,2013-01-16 22:10:36,2016-10-20 04:08:44.21906
4G Clinical,company,4gclinical.com,http://4gclinical.com/,USA,MA,MA - Other,Dover,02030,21A Farm Street,operating,We are equipped to answer the extreme cost and time pressures of clinical trials unlike anyone else.,health care|management information systems|pharmaceutical,health care|information technology,2,7500000,2015-01-01,2016-01-29,2016-10-19,,11-50,pr@4gclinical.com,(503)970-5931,https://www.facebook.com/pages/4g-clinical/712304828907054,https://www.crunchbase.com/organization/4g-clinical,https://www.crunchbase.com/organization/4g-clinical/primary-image/raw,http://public.crunchbase.com/t_api_images/v1454126696/k4dt2yk3lixpromzlfqe.png,,e94407ea-d3a5-0f75-f3d0-30ab8a43ac44,2016-01-30 04:06:17.169252,2016-10-20 03:56:08.504103
Actofit,company,actofit.com,http://actofit.com/,IND,,Mumbai,Mumbai,410210,"Kharghar, Navi Mumbai",operating,Actofit is a wearable tech startup that allows you to track your workouts in granularity (75+ gym exercises) and make data driven decisions,fitness|hardware|health care|lifestyle|software|wearables,community and lifestyle|consumer electronics|hardware|health care|software|sports,2,900000,2014-01-01,2015-07-25,2016-10-19,,11-50,pratik@actofit.com,,https://www.facebook.com/actofitwearables,https://www.crunchbase.com/organization/actofit,https://www.crunchbase.com/organization/actofit/primary-image/raw,http://public.crunchbase.com/t_api_images/v1462922578/a39lfd2wizoo5lyxa7uc.jpg,https://www.twitter.com/actofit,2107422d-5877-013e-f7dc-b92d94173b76,2016-05-10 23:23:11.784115,2016-10-21 05:57:17.205489
Finrise,company,finrise.com,https://finrise.com/,USA,CA,SF Bay Area,Burlingame,,"",operating,"Finrise provides a financing option for treatments and services that are not covered by insurance, directly in the doctor's office.",financial services|health care|service industry,financial services|health care,2,5420000,2015-10-15,2015-12-01,2016-10-19,,11-50,careers@finrise.com,(855)346-3416,https://www.facebook.com/finrisehq,https://www.crunchbase.com/organization/finrise-inc,https://www.crunchbase.com/organization/finrise-inc/primary-image/raw,http://public.crunchbase.com/t_api_images/v1454350230/tc2i7ngf09etcwxc3ixv.png,https://www.twitter.com/finrisehq,29aba40e-c037-1937-ed5f-bd84b89ba336,2016-02-01 18:11:02.165951,2016-10-19 19:46:53.945312
Hubb,company,hubb.me,http://www.hubb.me/,USA,WA,Seattle,Vancouver,98661,"4510 NE 68th Dr, Suite 102",operating,Hubb is a software platform that helps conference and meeting planners manage and market content for their events.,events|information technology|marketplace,commerce and shopping|events|information technology|media and entertainment,2,3155000,2012-01-01,2016-05-18,2016-10-19,,11-50,info@hubb.me,(360)949-7830,https://www.facebook.com/hubbdotme,https://www.crunchbase.com/organization/hubb,https://www.crunchbase.com/organization/hubb/primary-image/raw,http://public.crunchbase.com/t_api_images/v1458679864/rsvob0cq2dikytipzqnj.png,https://www.twitter.com/hubbdotme,4efdc204-5a73-6ffb-f439-21a772173f08,2016-03-22 20:51:24.478186,2016-10-18 16:16:00.850604
Juice So Good,company,juicesogood.com,http://www.juicesogood.com/,USA,MN,Minneapolis,Minneapolis,55414,500 Kasota Ave SE.,operating,So Good Brand is a better-for-you food and beverage company,,,1,1550000,2014-01-01,2016-10-19,2016-10-19,,11-50,sogood@juicesogood.com,1(612)354-2779,https://www.facebook.com/juicesogood,https://www.crunchbase.com/organization/juice-so-good,https://www.crunchbase.com/organization/juice-so-good/primary-image/raw,http://public.crunchbase.com/t_api_images/v1476937099/x58opzltjc2iuoiny5gv.png,https://www.twitter.com/juice_so_good,6980f0c9-b6ad-aeaf-2549-e5b7acab5ede,2016-10-20 04:18:28.379049,2016-10-20 10:07:08.42361
Kayentis,company,kayentis.com,http://www.kayentis.com,FRA,,FRA - Other,Gif-sur-yvette,91193,4 route de la Noue,operating,Kayentis provides eCOA solutions for pharmaceutical companies and tools to help monitoring efficiently.,software,software,3,12536043.956044,2004-01-01,2005-12-22,2016-10-19,,11-50,kayentis@kayentis.com,33 1 69 18 25 40,,https://www.crunchbase.com/organization/kayentis,https://www.crunchbase.com/organization/kayentis/primary-image/raw,http://public.crunchbase.com/t_api_images/v1397205138/8597cda56c60ddda7d4cc91d8c097a4d.png,,bf439965-9b7e-fd12-197f-40924b071fc3,2010-03-08 17:33:22,2016-10-19 04:52:14.954012
Matahari Mall,company,mataharimall.com,http://mataharimall.com,IDN,,Jakarta,Jakarta,,"Lippo Kuningan 20th Floor Jl. HR Rasuna Said No. 62, Kuningan Jakarta Selatan",operating,"Matahari Mall is an Indonesian e-commerce platform that covers the fashion, health and beauty, electronics, home, and many other industries.",e-commerce|fashion|retail,commerce and shopping|design,2,600000000,2015-01-01,2015-02-25,2016-10-19,,501-1000,,+62 21 29110133,https://www.facebook.com/mataharimallcom,https://www.crunchbase.com/organization/matahari-mall,https://www.crunchbase.com/organization/matahari-mall/primary-image/raw,http://public.crunchbase.com/t_api_images/v1428381979/lbz0seyasioczqdd0avv.png,https://www.twitter.com/mataharimallcom,159bdc91-daa4-b112-98db-cc054020c259,2015-04-07 04:46:42,2016-10-19 07:07:48.17391
Mio Global,company,mioglobal.com,http://www.mioglobal.com/,CAN,BC,Vancouver,Vancouver,,302-2930 Arbutus Street,operating,"Mio ALPHA is the first and only sport watch to provide continuous, accurate heart rate monitoring.",consumer electronics|medical device|training,consumer electronics|education|hardware|health care,1,14477789.9272682,1999-01-01,2016-10-19,2016-10-19,,11-50,,+1 (877) 770-1116,https://www.facebook.com/mioglobal,https://www.crunchbase.com/organization/mio-global,https://www.crunchbase.com/organization/mio-global/primary-image/raw,http://public.crunchbase.com/t_api_images/v1421659579/q14edvjxqr3937mpmtfz.png,https://www.twitter.com/mioglobal,1148cb4f-ca69-8db6-978b-81e6f1d5dcb8,2015-01-19 09:28:02,2016-10-19 03:41:14.548874
Notion,company,notion.ai,https://notion.ai/,USA,MI,Detroit,Ann Arbor,48104,212 S 5th Avenue,operating,Notion is a communications intelligence company out to solve communications overload once and for all.,internet,internet services,2,11000000,2013-01-01,2015-07-23,2016-10-19,,11-50,,,https://www.facebook.com/notionapp?_rdr=p,https://www.crunchbase.com/organization/notion-ai,https://www.crunchbase.com/organization/notion-ai/primary-image/raw,http://public.crunchbase.com/t_api_images/v1476904136/nqueyfhrkqjimjt0k1y2.jpg,https://www.twitter.com/notionapp,8a2cd511-190e-506a-aee5-96a5582c6f1b,2015-09-18 12:20:20,2016-10-19 19:11:28.512351
