first_name,last_name,country_code,state_code,city,cb_url,logo_url,profile_image_url,twitter_url,facebook_url,primary_affiliation_organization,primary_affiliation_title,primary_organization_uuid,gender,uuid,created_at,updated_at
Betty,Kayton,USA,CA,San Francisco,https://www.crunchbase.com/person/betty-kayton,https://www.crunchbase.com/person/betty-kayton/primary-image/raw,http://public.crunchbase.com/t_api_images/v1397182708/1fd3be546892165e313bff1e15b73e79.jpg,https://www.twitter.com/bettykayton,,Extole,CFO,ac8e670d-9193-bc11-d637-556aee3975f9,Female,4673d1a9-dca0-345c-43bb-35b00ea79c7b,2008-02-24 09:11:41,2016-03-03 06:38:09.321471
Daniel,Leff,USA,CA,San Francisco,https://www.crunchbase.com/person/daniel-leff,https://www.crunchbase.com/person/daniel-leff/primary-image/raw,http://public.crunchbase.com/t_api_images/v1397183148/7f15a6da381f0fe8a022cf4ed96c74f5.jpg,https://www.twitter.com/dr_daniel_leff,,Luminari Capital,Founder & Managing Partner,cd2b3d96-fccb-b4b8-a216-6c6f9f7cef48,Male,ef8f55a2-ef87-9c85-1be8-c8a26bfef6a2,2009-06-09 18:10:20,2016-08-19 18:48:34.813051
John,Donovan,USA,MA,Cambridge,https://www.crunchbase.com/person/john-donovan-6,https://www.crunchbase.com/person/john-donovan-6/primary-image/raw,http://public.crunchbase.com/t_api_images/v1437931134/oulaontjpbdjhxcdupdo.jpg,,,Massachusetts Institute of Technology - MIT,"Affiliate, Economics Department",6599f877-7c83-0c47-b05b-dbedd3db7b3a,Male,6171f0b6-e39f-247f-1290-cfa84781e4c8,2015-07-26 17:19:00,2016-09-30 00:40:18.246294
John,Donovan,USA,MA,Cambridge,https://www.crunchbase.com/person/john-donovan-6,https://www.crunchbase.com/person/john-donovan-6/primary-image/raw,http://public.crunchbase.com/t_api_images/v1437931134/oulaontjpbdjhxcdupdo.jpg,,,Massachusetts Institute of Technology - MIT,"Affiliate, Economics Department",6599f877-7c83-0c47-b05b-dbedd3db7b3a,Male,6171f0b6-e39f-247f-1290-cfa84781e4c8,2015-07-26 17:19:00,2016-09-30 00:40:18.246294
John,Donovan,USA,MA,Cambridge,https://www.crunchbase.com/person/john-donovan-6,https://www.crunchbase.com/person/john-donovan-6/primary-image/raw,http://public.crunchbase.com/t_api_images/v1437931134/oulaontjpbdjhxcdupdo.jpg,,,Massachusetts Institute of Technology - MIT,"Affiliate, Economics Department",6599f877-7c83-0c47-b05b-dbedd3db7b3a,Male,6171f0b6-e39f-247f-1290-cfa84781e4c8,2015-07-26 17:19:00,2016-09-30 00:40:18.246294
John,Donovan,USA,MA,Cambridge,https://www.crunchbase.com/person/john-donovan-6,https://www.crunchbase.com/person/john-donovan-6/primary-image/raw,http://public.crunchbase.com/t_api_images/v1437931134/oulaontjpbdjhxcdupdo.jpg,,,Massachusetts Institute of Technology - MIT,"Affiliate, Economics Department",6599f877-7c83-0c47-b05b-dbedd3db7b3a,Male,6171f0b6-e39f-247f-1290-cfa84781e4c8,2015-07-26 17:19:00,2016-09-30 00:40:18.246294
John,Donovan,USA,MA,Cambridge,https://www.crunchbase.com/person/john-donovan-6,https://www.crunchbase.com/person/john-donovan-6/primary-image/raw,http://public.crunchbase.com/t_api_images/v1437931134/oulaontjpbdjhxcdupdo.jpg,,,Massachusetts Institute of Technology - MIT,"Affiliate, Economics Department",6599f877-7c83-0c47-b05b-dbedd3db7b3a,Male,6171f0b6-e39f-247f-1290-cfa84781e4c8,2015-07-26 17:19:00,2016-09-30 00:40:18.246294
John,Donovan,USA,MA,Cambridge,https://www.crunchbase.com/person/john-donovan-6,https://www.crunchbase.com/person/john-donovan-6/primary-image/raw,http://public.crunchbase.com/t_api_images/v1437931134/oulaontjpbdjhxcdupdo.jpg,,,Massachusetts Institute of Technology - MIT,"Affiliate, Economics Department",6599f877-7c83-0c47-b05b-dbedd3db7b3a,Male,6171f0b6-e39f-247f-1290-cfa84781e4c8,2015-07-26 17:19:00,2016-09-30 00:40:18.246294
John,Donovan,USA,MA,Cambridge,https://www.crunchbase.com/person/john-donovan-6,https://www.crunchbase.com/person/john-donovan-6/primary-image/raw,http://public.crunchbase.com/t_api_images/v1437931134/oulaontjpbdjhxcdupdo.jpg,,,Massachusetts Institute of Technology - MIT,"Affiliate, Economics Department",6599f877-7c83-0c47-b05b-dbedd3db7b3a,Male,6171f0b6-e39f-247f-1290-cfa84781e4c8,2015-07-26 17:19:00,2016-09-30 00:40:18.246294
John,Donovan,USA,MA,Cambridge,https://www.crunchbase.com/person/john-donovan-6,https://www.crunchbase.com/person/john-donovan-6/primary-image/raw,http://public.crunchbase.com/t_api_images/v1437931134/oulaontjpbdjhxcdupdo.jpg,,,Massachusetts Institute of Technology - MIT,"Affiliate, Economics Department",6599f877-7c83-0c47-b05b-dbedd3db7b3a,Male,6171f0b6-e39f-247f-1290-cfa84781e4c8,2015-07-26 17:19:00,2016-09-30 00:40:18.246294
John,Donovan,USA,MA,Cambridge,https://www.crunchbase.com/person/john-donovan-6,https://www.crunchbase.com/person/john-donovan-6/primary-image/raw,http://public.crunchbase.com/t_api_images/v1437931134/oulaontjpbdjhxcdupdo.jpg,,,Massachusetts Institute of Technology - MIT,"Affiliate, Economics Department",6599f877-7c83-0c47-b05b-dbedd3db7b3a,Male,6171f0b6-e39f-247f-1290-cfa84781e4c8,2015-07-26 17:19:00,2016-09-30 00:40:18.246294
John,Donovan,USA,MA,Cambridge,https://www.crunchbase.com/person/john-donovan-6,https://www.crunchbase.com/person/john-donovan-6/primary-image/raw,http://public.crunchbase.com/t_api_images/v1437931134/oulaontjpbdjhxcdupdo.jpg,,,Massachusetts Institute of Technology - MIT,"Affiliate, Economics Department",6599f877-7c83-0c47-b05b-dbedd3db7b3a,Male,6171f0b6-e39f-247f-1290-cfa84781e4c8,2015-07-26 17:19:00,2016-09-30 00:40:18.246294
John,Donovan,USA,MA,Cambridge,https://www.crunchbase.com/person/john-donovan-6,https://www.crunchbase.com/person/john-donovan-6/primary-image/raw,http://public.crunchbase.com/t_api_images/v1437931134/oulaontjpbdjhxcdupdo.jpg,,,Massachusetts Institute of Technology - MIT,"Affiliate, Economics Department",6599f877-7c83-0c47-b05b-dbedd3db7b3a,Male,6171f0b6-e39f-247f-1290-cfa84781e4c8,2015-07-26 17:19:00,2016-09-30 00:40:18.246294
John,Donovan,USA,MA,Cambridge,https://www.crunchbase.com/person/john-donovan-6,https://www.crunchbase.com/person/john-donovan-6/primary-image/raw,http://public.crunchbase.com/t_api_images/v1437931134/oulaontjpbdjhxcdupdo.jpg,,,Massachusetts Institute of Technology - MIT,"Affiliate, Economics Department",6599f877-7c83-0c47-b05b-dbedd3db7b3a,Male,6171f0b6-e39f-247f-1290-cfa84781e4c8,2015-07-26 17:19:00,2016-09-30 00:40:18.246294
John,Donovan,USA,MA,Cambridge,https://www.crunchbase.com/person/john-donovan-6,https://www.crunchbase.com/person/john-donovan-6/primary-image/raw,http://public.crunchbase.com/t_api_images/v1437931134/oulaontjpbdjhxcdupdo.jpg,,,Massachusetts Institute of Technology - MIT,"Affiliate, Economics Department",6599f877-7c83-0c47-b05b-dbedd3db7b3a,Male,6171f0b6-e39f-247f-1290-cfa84781e4c8,2015-07-26 17:19:00,2016-09-30 00:40:18.246294
