uuid,description
4673d1a9-dca0-345c-43bb-35b00ea79c7b,"Betty Kayton is the CFO at Vuclip.

Betty has over 25 years of experience in the technology industry, as a key member of the executive team at a number high-growth, venture-funded startups. Her abilities in the arenas of strategic planning and fund raising have made her in building appropriate infrastructure without stifling growth.

Betty was certified as a CPA while working for Ernst & Young. 

She holds an MBA from the University of Southern California and a BA from Pomona College."
ef8f55a2-ef87-9c85-1be8-c8a26bfef6a2,"Daniel is Founder & Managing Director of Luminari Capital. Luminari Capital is a digital media fund with a targeted focus on the innovation and disruption happening globally throughout the $500B+ video ecosystem. The firm’s investment thesis is based on mapping key technology themes (cloud computing, big data, SaaS, social, & mobile) to the fundamental transformations happening in content creation, distribution, and consumption.

Prior to founding Luminari Capital, Daniel was most recently a Venture Partner with Globespan Capital Partners, a global venture capital firm broadly focused on technology, media, and telecom (TMT), with over $1 Billion AUM.  Daniel was based in the firm's Palo Alto office and evaluated investment opportunites in a wide range of areas including Internet, digital media, systems and peripherals and consumer Internet financial services.  Daniel has been the lead or supporting partner working with several Globespan-backed companies such as Credit Sesame, Nantero, Pelican Imaging, and Roku (current member of the Board of Directors), and also worked on a number of other portfolio companies while at the firm.   

Prior to joining Globespan in 2008, Daniel was an Executive Vice President and Managing Director at Harris & Harris Group, Inc., a publicly held venture capital company (NASDAQ:TINY). While at Harris & Harris Group, Daniel established the company’s first West Coast office and led investments in Adesto Technologies, Bridgelux, Cambrios, Innovalight (acquired by DuPont), Molecular Imprints, Neophotonics (NYSE:NPTN), and Solazyme (NASDAQ:SZYM).  

Earlier in his career, Daniel worked for Redpoint Ventures and Sevin Rosen Funds. He also previously held engineering, marketing and strategic investment positions with Intel Corporation. 

In addition, over the last 10 years, Daniel has been an active Angel and individual investor in leading, private technology companies such as Bridgelux (a provider of high power, energy-efficient and cost-effective LED solutions), SandForce (the pioneer of SSD Processors- acquired by LSI Corporation), MOVL (developer of KontrolTV, the leading cloud-based platform that enables multi-screen experiences in the living room- acquired by Samsung), and DanceOn (the #1 video programming brand in dance entertainment and the #1 dance network on YouTube).

Daniel earned a Bachelor of Science degree in Chemistry from the University of California, Berkeley. He also received a PhD in Physical Chemistry from the University of California, Los Angeles and an MBA from The Anderson School at UCLA, where he was an Anderson Venture Fellow."
6171f0b6-e39f-247f-1290-cfa84781e4c8,"ACADEMIC: At MIT John Donovan, served as a tenured professor of electrical engineering , of management at the Sloan school and presently affiliated with the Economics Department, At Tufts Medical School he served as an Assistant Clinical Professor of Pediatrics , at Yale University a Fellow, at Harvard University a Visiting Scholar, lecturer at Oxford, Cambridge,Sorbonne- Paris, a Professor at Texas Tech , He has taught 5,500 students and supervised 54 theses
. 
RESEARCH: His research focus at MIT is on entrepreneurship, technology and Business At Tufts he first focused on causes of birth defects.and a founder of the Birth Defects center .
Professor Donovan has, to date , Authored: 20 books, translated into 14 languages, 84 publications, and 15 patents.

BUSINESS: To date he founded 26 companies, (six of which went public) total Market Capitalization $8.2 billion . 22,000 employees, with a presence in 19 countries .
He led 200 workshops including; DOD, Navy, Jacksonville Electric Authority, GM, United Health , All resulted in strategic application that improved their effectiveness .
He led 600 executive courses sponsored by AT&T, Oracle, HP, CITI Group, SAP, NCR, IBM, Informix, Samsung, KPMG, DEC and Sun where he taught 25,000 executives in 40 countries

GOVERNMENT: He received 12 commendations for his work from DOD, the US Senate and Presidents Reagan and Bush.

PUBLIC SERVICE: He received commendations from the Red Cross for: research on birth defects, blood safety , work with children. He and his son, John, have created recreational parks in Mass,. . established scholarships at Yale University for the children of city workers and “Donovan Scholars” fellowships at Boston University. 

EDUCATION:  Yale (PhD), Yale (MS), Yale College (MEng), Tufts/MIT (BS), MIT (Post doctorate), University of Economics (Prague) (Honorary Doctorate Economics)"
6171f0b6-e39f-247f-1290-cfa84781e4c8,"ACADEMIC: At MIT John Donovan, served as a tenured professor of electrical engineering , of management at the Sloan school and presently affiliated with the Economics Department, At Tufts Medical School he served as an Assistant Clinical Professor of Pediatrics , at Yale University a Fellow, at Harvard University a Visiting Scholar, lecturer at Oxford, Cambridge,Sorbonne- Paris, a Professor at Texas Tech , He has taught 5,500 students and supervised 54 theses
. 
RESEARCH: His research focus at MIT is on entrepreneurship, technology and Business At Tufts he first focused on causes of birth defects.and a founder of the Birth Defects center .
Professor Donovan has, to date , Authored: 20 books, translated into 14 languages, 84 publications, and 15 patents.

BUSINESS: To date he founded 26 companies, (six of which went public) total Market Capitalization $8.2 billion . 22,000 employees, with a presence in 19 countries .
He led 200 workshops including; DOD, Navy, Jacksonville Electric Authority, GM, United Health , All resulted in strategic application that improved their effectiveness .
He led 600 executive courses sponsored by AT&T, Oracle, HP, CITI Group, SAP, NCR, IBM, Informix, Samsung, KPMG, DEC and Sun where he taught 25,000 executives in 40 countries

GOVERNMENT: He received 12 commendations for his work from DOD, the US Senate and Presidents Reagan and Bush.

PUBLIC SERVICE: He received commendations from the Red Cross for: research on birth defects, blood safety , work with children. He and his son, John, have created recreational parks in Mass,. . established scholarships at Yale University for the children of city workers and “Donovan Scholars” fellowships at Boston University. 

EDUCATION:  Yale (PhD), Yale (MS), Yale College (MEng), Tufts/MIT (BS), MIT (Post doctorate), University of Economics (Prague) (Honorary Doctorate Economics)"
6171f0b6-e39f-247f-1290-cfa84781e4c8,"ACADEMIC: At MIT John Donovan, served as a tenured professor of electrical engineering , of management at the Sloan school and presently affiliated with the Economics Department, At Tufts Medical School he served as an Assistant Clinical Professor of Pediatrics , at Yale University a Fellow, at Harvard University a Visiting Scholar, lecturer at Oxford, Cambridge,Sorbonne- Paris, a Professor at Texas Tech , He has taught 5,500 students and supervised 54 theses
. 
RESEARCH: His research focus at MIT is on entrepreneurship, technology and Business At Tufts he first focused on causes of birth defects.and a founder of the Birth Defects center .
Professor Donovan has, to date , Authored: 20 books, translated into 14 languages, 84 publications, and 15 patents.

BUSINESS: To date he founded 26 companies, (six of which went public) total Market Capitalization $8.2 billion . 22,000 employees, with a presence in 19 countries .
He led 200 workshops including; DOD, Navy, Jacksonville Electric Authority, GM, United Health , All resulted in strategic application that improved their effectiveness .
He led 600 executive courses sponsored by AT&T, Oracle, HP, CITI Group, SAP, NCR, IBM, Informix, Samsung, KPMG, DEC and Sun where he taught 25,000 executives in 40 countries

GOVERNMENT: He received 12 commendations for his work from DOD, the US Senate and Presidents Reagan and Bush.

PUBLIC SERVICE: He received commendations from the Red Cross for: research on birth defects, blood safety , work with children. He and his son, John, have created recreational parks in Mass,. . established scholarships at Yale University for the children of city workers and “Donovan Scholars” fellowships at Boston University. 

EDUCATION:  Yale (PhD), Yale (MS), Yale College (MEng), Tufts/MIT (BS), MIT (Post doctorate), University of Economics (Prague) (Honorary Doctorate Economics)"
6171f0b6-e39f-247f-1290-cfa84781e4c8,"ACADEMIC: At MIT John Donovan, served as a tenured professor of electrical engineering , of management at the Sloan school and presently affiliated with the Economics Department, At Tufts Medical School he served as an Assistant Clinical Professor of Pediatrics , at Yale University a Fellow, at Harvard University a Visiting Scholar, lecturer at Oxford, Cambridge,Sorbonne- Paris, a Professor at Texas Tech , He has taught 5,500 students and supervised 54 theses
. 
RESEARCH: His research focus at MIT is on entrepreneurship, technology and Business At Tufts he first focused on causes of birth defects.and a founder of the Birth Defects center .
Professor Donovan has, to date , Authored: 20 books, translated into 14 languages, 84 publications, and 15 patents.

BUSINESS: To date he founded 26 companies, (six of which went public) total Market Capitalization $8.2 billion . 22,000 employees, with a presence in 19 countries .
He led 200 workshops including; DOD, Navy, Jacksonville Electric Authority, GM, United Health , All resulted in strategic application that improved their effectiveness .
He led 600 executive courses sponsored by AT&T, Oracle, HP, CITI Group, SAP, NCR, IBM, Informix, Samsung, KPMG, DEC and Sun where he taught 25,000 executives in 40 countries

GOVERNMENT: He received 12 commendations for his work from DOD, the US Senate and Presidents Reagan and Bush.

PUBLIC SERVICE: He received commendations from the Red Cross for: research on birth defects, blood safety , work with children. He and his son, John, have created recreational parks in Mass,. . established scholarships at Yale University for the children of city workers and “Donovan Scholars” fellowships at Boston University. 

EDUCATION:  Yale (PhD), Yale (MS), Yale College (MEng), Tufts/MIT (BS), MIT (Post doctorate), University of Economics (Prague) (Honorary Doctorate Economics)"
6171f0b6-e39f-247f-1290-cfa84781e4c8,"ACADEMIC: At MIT John Donovan, served as a tenured professor of electrical engineering , of management at the Sloan school and presently affiliated with the Economics Department, At Tufts Medical School he served as an Assistant Clinical Professor of Pediatrics , at Yale University a Fellow, at Harvard University a Visiting Scholar, lecturer at Oxford, Cambridge,Sorbonne- Paris, a Professor at Texas Tech , He has taught 5,500 students and supervised 54 theses
. 
RESEARCH: His research focus at MIT is on entrepreneurship, technology and Business At Tufts he first focused on causes of birth defects.and a founder of the Birth Defects center .
Professor Donovan has, to date , Authored: 20 books, translated into 14 languages, 84 publications, and 15 patents.

BUSINESS: To date he founded 26 companies, (six of which went public) total Market Capitalization $8.2 billion . 22,000 employees, with a presence in 19 countries .
He led 200 workshops including; DOD, Navy, Jacksonville Electric Authority, GM, United Health , All resulted in strategic application that improved their effectiveness .
He led 600 executive courses sponsored by AT&T, Oracle, HP, CITI Group, SAP, NCR, IBM, Informix, Samsung, KPMG, DEC and Sun where he taught 25,000 executives in 40 countries

GOVERNMENT: He received 12 commendations for his work from DOD, the US Senate and Presidents Reagan and Bush.

PUBLIC SERVICE: He received commendations from the Red Cross for: research on birth defects, blood safety , work with children. He and his son, John, have created recreational parks in Mass,. . established scholarships at Yale University for the children of city workers and “Donovan Scholars” fellowships at Boston University. 

EDUCATION:  Yale (PhD), Yale (MS), Yale College (MEng), Tufts/MIT (BS), MIT (Post doctorate), University of Economics (Prague) (Honorary Doctorate Economics)"
6171f0b6-e39f-247f-1290-cfa84781e4c8,"ACADEMIC: At MIT John Donovan, served as a tenured professor of electrical engineering , of management at the Sloan school and presently affiliated with the Economics Department, At Tufts Medical School he served as an Assistant Clinical Professor of Pediatrics , at Yale University a Fellow, at Harvard University a Visiting Scholar, lecturer at Oxford, Cambridge,Sorbonne- Paris, a Professor at Texas Tech , He has taught 5,500 students and supervised 54 theses
. 
RESEARCH: His research focus at MIT is on entrepreneurship, technology and Business At Tufts he first focused on causes of birth defects.and a founder of the Birth Defects center .
Professor Donovan has, to date , Authored: 20 books, translated into 14 languages, 84 publications, and 15 patents.

BUSINESS: To date he founded 26 companies, (six of which went public) total Market Capitalization $8.2 billion . 22,000 employees, with a presence in 19 countries .
He led 200 workshops including; DOD, Navy, Jacksonville Electric Authority, GM, United Health , All resulted in strategic application that improved their effectiveness .
He led 600 executive courses sponsored by AT&T, Oracle, HP, CITI Group, SAP, NCR, IBM, Informix, Samsung, KPMG, DEC and Sun where he taught 25,000 executives in 40 countries

GOVERNMENT: He received 12 commendations for his work from DOD, the US Senate and Presidents Reagan and Bush.

PUBLIC SERVICE: He received commendations from the Red Cross for: research on birth defects, blood safety , work with children. He and his son, John, have created recreational parks in Mass,. . established scholarships at Yale University for the children of city workers and “Donovan Scholars” fellowships at Boston University. 

EDUCATION:  Yale (PhD), Yale (MS), Yale College (MEng), Tufts/MIT (BS), MIT (Post doctorate), University of Economics (Prague) (Honorary Doctorate Economics)"
6171f0b6-e39f-247f-1290-cfa84781e4c8,"ACADEMIC: At MIT John Donovan, served as a tenured professor of electrical engineering , of management at the Sloan school and presently affiliated with the Economics Department, At Tufts Medical School he served as an Assistant Clinical Professor of Pediatrics , at Yale University a Fellow, at Harvard University a Visiting Scholar, lecturer at Oxford, Cambridge,Sorbonne- Paris, a Professor at Texas Tech , He has taught 5,500 students and supervised 54 theses
. 
RESEARCH: His research focus at MIT is on entrepreneurship, technology and Business At Tufts he first focused on causes of birth defects.and a founder of the Birth Defects center .
Professor Donovan has, to date , Authored: 20 books, translated into 14 languages, 84 publications, and 15 patents.

BUSINESS: To date he founded 26 companies, (six of which went public) total Market Capitalization $8.2 billion . 22,000 employees, with a presence in 19 countries .
He led 200 workshops including; DOD, Navy, Jacksonville Electric Authority, GM, United Health , All resulted in strategic application that improved their effectiveness .
He led 600 executive courses sponsored by AT&T, Oracle, HP, CITI Group, SAP, NCR, IBM, Informix, Samsung, KPMG, DEC and Sun where he taught 25,000 executives in 40 countries

GOVERNMENT: He received 12 commendations for his work from DOD, the US Senate and Presidents Reagan and Bush.

PUBLIC SERVICE: He received commendations from the Red Cross for: research on birth defects, blood safety , work with children. He and his son, John, have created recreational parks in Mass,. . established scholarships at Yale University for the children of city workers and “Donovan Scholars” fellowships at Boston University. 

EDUCATION:  Yale (PhD), Yale (MS), Yale College (MEng), Tufts/MIT (BS), MIT (Post doctorate), University of Economics (Prague) (Honorary Doctorate Economics)"
6171f0b6-e39f-247f-1290-cfa84781e4c8,"ACADEMIC: At MIT John Donovan, served as a tenured professor of electrical engineering , of management at the Sloan school and presently affiliated with the Economics Department, At Tufts Medical School he served as an Assistant Clinical Professor of Pediatrics , at Yale University a Fellow, at Harvard University a Visiting Scholar, lecturer at Oxford, Cambridge,Sorbonne- Paris, a Professor at Texas Tech , He has taught 5,500 students and supervised 54 theses
. 
RESEARCH: His research focus at MIT is on entrepreneurship, technology and Business At Tufts he first focused on causes of birth defects.and a founder of the Birth Defects center .
Professor Donovan has, to date , Authored: 20 books, translated into 14 languages, 84 publications, and 15 patents.

BUSINESS: To date he founded 26 companies, (six of which went public) total Market Capitalization $8.2 billion . 22,000 employees, with a presence in 19 countries .
He led 200 workshops including; DOD, Navy, Jacksonville Electric Authority, GM, United Health , All resulted in strategic application that improved their effectiveness .
He led 600 executive courses sponsored by AT&T, Oracle, HP, CITI Group, SAP, NCR, IBM, Informix, Samsung, KPMG, DEC and Sun where he taught 25,000 executives in 40 countries

GOVERNMENT: He received 12 commendations for his work from DOD, the US Senate and Presidents Reagan and Bush.

PUBLIC SERVICE: He received commendations from the Red Cross for: research on birth defects, blood safety , work with children. He and his son, John, have created recreational parks in Mass,. . established scholarships at Yale University for the children of city workers and “Donovan Scholars” fellowships at Boston University. 

EDUCATION:  Yale (PhD), Yale (MS), Yale College (MEng), Tufts/MIT (BS), MIT (Post doctorate), University of Economics (Prague) (Honorary Doctorate Economics)"
