,uuid,investor_name,domain,country_code,state_code,region,city,investor_type,investment_count,total_funding_usd,logo_url
0,0c867fde-2b9a-df10-fdb9-66b74f355f91,Sequoia Capital,sequoiacap.com,USA,CA,SF Bay Area,Menlo Park,venture_capital,1257,34182982728.2,https://www.crunchbase.com/organization/sequoia-capital/primary-image/raw
1,56e40f50-97c7-2a77-255d-1d97d5f30646,500 Startups,500.co,USA,CA,SF Bay Area,Mountain View,accelerator,1232,1696508510.01,https://www.crunchbase.com/organization/500-startups/primary-image/raw
2,47b84763-9727-7cdf-b194-2742e3963147,New Enterprise Associates,nea.com,USA,CA,SF Bay Area,Menlo Park,venture_capital,1151,28724746476.1,https://www.crunchbase.com/organization/new-enterprise-associates/primary-image/raw
3,73633ee4-ea65-2967-6c5d-9b5fec7d2d5e,Y Combinator,ycombinator.com,USA,CA,SF Bay Area,Mountain View,accelerator,1091,1208224863.41,https://www.crunchbase.com/organization/y-combinator/primary-image/raw
4,f3716725-552d-b9b5-59ad-de4ec64b1751,Intel Capital,intelcapital.com,USA,CA,SF Bay Area,Santa Clara,corporate_venture_capital,1065,24019162159.0,https://www.crunchbase.com/organization/intel-capital/primary-image/raw
5,b08efc27-da40-505a-6f9d-c9e14247bf36,Accel Partners,accel.com,USA,CA,SF Bay Area,Palo Alto,venture_capital,963,22406084753.8,https://www.crunchbase.com/organization/accel-partners/primary-image/raw
6,ac41030f-c20d-0060-3f0a-37f0eee13779,Wayra,wayra.co,ESP,,Madrid,Madrid,accelerator,933,172736794.056,https://www.crunchbase.com/organization/wayra/primary-image/raw
7,2d0a5bf0-e53e-9a07-2243-9bcd561421ec,Kleiner Perkins Caufield & Byers,kpcb.com,USA,CA,SF Bay Area,Menlo Park,venture_capital,860,27531826090.3,https://www.crunchbase.com/organization/kleiner-perkins-caufield-byers/primary-image/raw
8,e26b98e6-3997-577d-eb5b-a195e31d03e3,Start-Up Chile,startupchile.org,CHL,,Santiago,Santiago,accelerator,738,48409186.787,https://www.crunchbase.com/organization/start-up-chile/primary-image/raw
9,ac53f2c3-4fd6-45c3-3a21-966c4d950f8f,Draper Fisher Jurvetson (DFJ),dfj.com,USA,CA,SF Bay Area,Menlo Park,venture_capital,712,11222922493.8,https://www.crunchbase.com/organization/draper-fisher-jurvetson/primary-image/raw
10,39041e62-6b24-ae8d-1347-4cea947e832c,SOSV,sosv.com,USA,NJ,Newark,Princeton,accelerator,694,260774984.405,https://www.crunchbase.com/organization/sosventures/primary-image/raw
11,902deab4-ec41-68ce-d9df-c0c959578176,SV Angel,svangel.com,USA,CA,SF Bay Area,San Francisco,micro_vc,691,4315561724.0,https://www.crunchbase.com/organization/sv-angel/primary-image/raw
12,3718597a-dd39-6661-3630-09cdd43bcac2,Techstars,techstars.com,USA,CO,Denver,Boulder,accelerator,641,423724495.244,https://www.crunchbase.com/organization/techstars/primary-image/raw
13,beadb218-e5fa-2686-bc95-4dfaa9acc2e8,Bessemer Venture Partners,bvp.com,USA,CA,SF Bay Area,Menlo Park,venture_capital,606,13138748933.3,https://www.crunchbase.com/organization/bessemer-venture-partners/primary-image/raw
14,3ee29c77-685f-38d4-09dd-f31be5bcd8c1,Brand Capital,brandcapital.co.in,IND,,Mumbai,Mumbai,venture_capital,548,2861075000.0,https://www.crunchbase.com/organization/brandcapital/primary-image/raw
15,043d9e52-dcc0-0dd8-6074-206e42e20e13,First Round,firstround.com,USA,CA,SF Bay Area,San Francisco,venture_capital,541,5338979586.0,https://www.crunchbase.com/organization/first-round-capital/primary-image/raw
16,60b5dade-24ed-84b0-99e2-1ecda554a1ab,Index Ventures,indexventures.com,CHE,,Geneva,Geneva,venture_capital,527,10472966883.0,https://www.crunchbase.com/organization/index-ventures/primary-image/raw
17,e2006571-6b7a-e477-002a-f7014f48a7e3,Greylock Partners,greylock.com,USA,CA,SF Bay Area,Menlo Park,venture_capital,512,10736184009.4,https://www.crunchbase.com/organization/greylock/primary-image/raw
18,30b3efdf-6024-804d-ea55-c4d1a8dfc86c,Goldman Sachs,goldmansachs.com,USA,NY,New York City,New York,investment_bank,507,34364893861.1,https://www.crunchbase.com/organization/goldman-sachs/primary-image/raw
19,d5df3873-7871-c608-0284-c74d0b555ccd,Lightspeed Venture Partners,lsvp.com,USA,CA,SF Bay Area,Menlo Park,venture_capital,499,11022690171.0,https://www.crunchbase.com/organization/lightspeed-venture-partners/primary-image/raw
20,7a42b564-4bb6-5864-6cdb-a0100008f3b3,Battery Ventures,battery.com,USA,MA,Boston,Boston,venture_capital,487,10000581386.8,https://www.crunchbase.com/organization/battery-ventures/primary-image/raw
21,fe2d1e8b-f607-3c9f-fad7-98fb8412f77e,Benchmark,benchmark.com,USA,CA,SF Bay Area,San Francisco,venture_capital,483,11150558977.6,https://www.crunchbase.com/organization/benchmark/primary-image/raw
22,ed24f9ce-2313-cb8c-8ff2-9de6899ea992,Venrock,venrock.com,USA,CA,SF Bay Area,Palo Alto,venture_capital,480,11129178340.0,https://www.crunchbase.com/organization/venrock/primary-image/raw
23,2ca323e0-fbcc-f738-a7a1-86b6322788bd,High-Tech Gruenderfonds,high-tech-gruenderfonds.de,DEU,,Bonn,Bonn,micro_vc,475,703175054.009,https://www.crunchbase.com/organization/high-tech-gruenderfonds/primary-image/raw
24,ce91bad7-b6d8-e56e-0f45-4763c6c5ca29,Andreessen Horowitz,a16z.com,USA,CA,SF Bay Area,Menlo Park,venture_capital,472,13883564328.6,https://www.crunchbase.com/organization/andreessen-horowitz/primary-image/raw
25,3bfb69a8-61b6-ec30-1512-73bd1ca35bc5,Right Side Capital Management,rightsidecapital.com,USA,CA,SF Bay Area,San Francisco,micro_vc,464,132867803.02,https://www.crunchbase.com/organization/right-side-capital-management/primary-image/raw
26,4ab1b039-d9ce-f96a-06e7-f737e37eee08,Norwest Venture Partners - NVP,nvp.com,USA,CA,SF Bay Area,Palo Alto,venture_capital,458,9470440782.0,https://www.crunchbase.com/organization/norwest-venture-partners/primary-image/raw
27,d29973c3-95ec-691d-defd-6a6ba713c72a,Redpoint,redpoint.com,USA,CA,SF Bay Area,Menlo Park,venture_capital,458,9614813445.11,https://www.crunchbase.com/organization/redpoint-ventures/primary-image/raw
28,6f2acf2a-5cbf-adb1-cbb4-5829ab0b08cd,Atlas Venture,atlasventure.com,USA,MA,Boston,Cambridge,venture_capital,457,6197601103.13,https://www.crunchbase.com/organization/atlas-venture/primary-image/raw
29,34a9bb66-0984-8de0-e7fb-13e976b4a135,General Catalyst Partners,generalcatalyst.com,USA,MA,Boston,Cambridge,venture_capital,450,8217486959.0,https://www.crunchbase.com/organization/general-catalyst-partners/primary-image/raw
30,fe5a4983-a46a-2fc2-5633-e35e0a86b694,Khosla Ventures,khoslaventures.com,USA,CA,SF Bay Area,Menlo Park,venture_capital,450,10190102411.2,https://www.crunchbase.com/organization/khosla-ventures/primary-image/raw
31,ec66c602-011e-63bb-cd78-3a79a59cebfd,Northstar Ventures,northstarventures.co.uk,GBR,,Newcastle,Newcastle Upon Tyne,venture_capital,448,283921988.683,https://www.crunchbase.com/organization/northstar-ventures/primary-image/raw
32,3c62db15-4db8-016a-145e-dd1a06d168e2,GV,gv.com,USA,CA,SF Bay Area,Mountain View,venture_capital,444,9117253917.81,https://www.crunchbase.com/organization/google-ventures/primary-image/raw
33,a34c63f0-c277-3e4b-bbfc-1868ca81596d,Menlo Ventures,menlovc.com,USA,CA,SF Bay Area,Menlo Park,venture_capital,440,8712803032.0,https://www.crunchbase.com/organization/menlo-ventures/primary-image/raw
34,01a2a666-577c-1673-eba6-74c02aaf2e80,Crowdcube,crowdcube.com,GBR,,Exeter,Exeter,funding_platform,432,282322371.708,https://www.crunchbase.com/organization/crowdcube/primary-image/raw
35,26bcf130-4aa8-a3b3-3571-1b8f13143370,Canaan Partners,canaan.com,USA,CA,SF Bay Area,Menlo Park,venture_capital,417,6949761770.12,https://www.crunchbase.com/organization/canaan-partners/primary-image/raw
36,a2b35e8b-e3e9-883b-8a07-38e6ef57d726,U.S. Venture Partners (USVP),usvp.com,USA,CA,SF Bay Area,Menlo Park,venture_capital,414,8435710278.23,https://www.crunchbase.com/organization/us-venture-partners/primary-image/raw
37,93c87ab7-7cee-5c54-9941-104693dbbdba,Plug and Play,plugandplaytechcenter.com,USA,CA,SF Bay Area,Sunnyvale,accelerator,413,338939424.857,https://www.crunchbase.com/organization/plug-and-play-ventures/primary-image/raw
38,add1bcfe-41e3-7828-253b-d7c8694ed4ca,Polaris Partners,polarispartners.com,USA,MA,Boston,Boston,venture_capital,402,6494129311.0,https://www.crunchbase.com/organization/polaris-partners/primary-image/raw
39,d1bc5ab8-adde-56aa-5dfc-d69d0377430d,Kima Ventures,kimaventures.com,FRA,,Paris,Paris,micro_vc,396,346064977.303,https://www.crunchbase.com/organization/kima-ventures/primary-image/raw
40,4eee5e60-3b06-6fe8-cc2c-29119a96051d,Silicon Valley Bank,svb.com,USA,CA,SF Bay Area,Santa Clara,investment_bank,392,7620766099.45,https://www.crunchbase.com/organization/silicon-valley-bank/primary-image/raw
41,0e09f1a3-ab17-d2d6-80a4-4425f38e4078,Matrix Partners,matrixpartners.com,USA,CA,SF Bay Area,San Francisco,venture_capital,389,6404844540.1,https://www.crunchbase.com/organization/matrix-partners/primary-image/raw
42,3213cd7d-06e0-3ecb-3359-29aa8deddfa6,Mayfield Fund,mayfield.com,USA,CA,SF Bay Area,Menlo Park,venture_capital,388,6899807277.0,https://www.crunchbase.com/organization/mayfield-fund/primary-image/raw
43,f5315b3c-bb4c-1828-9b81-2f2103cdb761,RRE Ventures,rre.com,USA,NY,New York City,New York,venture_capital,375,4979606139.14,https://www.crunchbase.com/organization/rre-ventures/primary-image/raw
44,4e0cf914-3a8e-c3c2-4ef8-ee6f5e8fdb47,CRV,crv.com,USA,MA,Boston,Cambridge,venture_capital,374,5276091569.0,https://www.crunchbase.com/organization/charles-river-ventures/primary-image/raw
45,c06fab5e-2646-a238-a280-1ce83e63f507,Tech Coast Angels,techcoastangels.com,USA,CA,Anaheim,Newport Beach,angel_group,374,355840733.0,https://www.crunchbase.com/organization/tech-coast-angels/primary-image/raw
46,704baa25-5337-ecb0-71f7-f28c18ad3faa,Foundation Capital,foundationcapital.com,USA,CA,SF Bay Area,Menlo Park,venture_capital,373,7058223762.73,https://www.crunchbase.com/organization/foundation-capital/primary-image/raw
