,uuid,company_name,homepage_url,country_code,state_code,region,city,zipcode,short_description,category_group_list
0,4ca2593a-1e9d-b393-ae3f-b745ee0c670c,360insights,http://www.360incentives.com,CAN,ON,Toronto,Whitby,L1N 8R1,360insightsprovides a SaaS-based platform that enables manufacturers and distributors to manage their incentives programs.,manufacturing|software
1,e94407ea-d3a5-0f75-f3d0-30ab8a43ac44,4G Clinical,http://4gclinical.com/,USA,MA,MA - Other,Dover,02030,We are equipped to answer the extreme cost and time pressures of clinical trials unlike anyone else.,health care|information technology
2,2107422d-5877-013e-f7dc-b92d94173b76,Actofit,http://actofit.com/,IND,,Mumbai,Mumbai,410210,Actofit is a wearable tech startup that allows you to track your workouts in granularity (75+ gym exercises) and make data driven decisions,community and lifestyle|consumer electronics|hardware|health care|software|sports
3,29aba40e-c037-1937-ed5f-bd84b89ba336,Finrise,https://finrise.com/,USA,CA,SF Bay Area,Burlingame,,"Finrise provides a financing option for treatments and services that are not covered by insurance, directly in the doctor's office.",financial services|health care
4,4efdc204-5a73-6ffb-f439-21a772173f08,Hubb,http://www.hubb.me/,USA,WA,Seattle,Vancouver,98661,Hubb is a software platform that helps conference and meeting planners manage and market content for their events.,commerce and shopping|events|information technology|media and entertainment
5,6980f0c9-b6ad-aeaf-2549-e5b7acab5ede,Juice So Good,http://www.juicesogood.com/,USA,MN,Minneapolis,Minneapolis,55414,So Good Brand is a better-for-you food and beverage company,
6,bf439965-9b7e-fd12-197f-40924b071fc3,Kayentis,http://www.kayentis.com,FRA,,FRA - Other,Gif-sur-yvette,91193,Kayentis provides eCOA solutions for pharmaceutical companies and tools to help monitoring efficiently.,software
7,159bdc91-daa4-b112-98db-cc054020c259,Matahari Mall,http://mataharimall.com,IDN,,Jakarta,Jakarta,,"Matahari Mall is an Indonesian e-commerce platform that covers the fashion, health and beauty, electronics, home, and many other industries.",commerce and shopping|design
8,1148cb4f-ca69-8db6-978b-81e6f1d5dcb8,Mio Global,http://www.mioglobal.com/,CAN,BC,Vancouver,Vancouver,,"Mio ALPHA is the first and only sport watch to provide continuous, accurate heart rate monitoring.",consumer electronics|education|hardware|health care
9,8a2cd511-190e-506a-aee5-96a5582c6f1b,Notion,https://notion.ai/,USA,MI,Detroit,Ann Arbor,48104,Notion is a communications intelligence company out to solve communications overload once and for all.,internet services
10,45c2d282-c289-0347-5d4d-67a068d7e6a2,SPARK Schools,http://www.sparkschools.co.za,ZAF,,Johannesburg,Gauteng,2160,SPARK Schools is a network of affordable private schools implementing Africa’s first blended learning model for primary school students.,
